raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,VTS,2011/9/1 0:03,2011/9/1 0:11,5,1.22,-73.983612,40.73803,-73.992447,40.748973,6.1,0
1,CMT,2011/9/1 0:21,2011/9/1 0:25,1,1.5,-73.991832,40.738248,-73.985152,40.753331,5.7,1.34
2,CMT,2011/9/1 0:47,2011/9/1 0:50,2,0.6,-74.000112,40.737899,-74.001416,40.730969,4.1,0
3,VTS,2011/9/1 0:48,2011/9/1 1:03,2,2.49,-73.98913,40.718935,-74.007527,40.740917,10.1,0
4,VTS,2011/9/1 1:49,2011/9/1 1:55,1,1.84,-73.974013,40.757352,-73.953105,40.77168,6.9,0
5,CMT,2011/9/1 2:59,2011/9/1 3:14,1,5.4,-73.98904,40.730019,-73.923671,40.761148,14.5,0
6,CMT,2011/9/1 3:26,2011/9/1 3:35,1,2.4,-73.964113,40.758576,-73.992502,40.742985,8.9,1
7,CMT,2011/9/1 3:49,2011/9/1 3:52,1,1.1,-73.984689,40.759434,-73.981706,40.751462,4.5,1
8,VTS,2011/9/1 4:17,2011/9/1 4:33,1,6.15,-73.986065,40.726632,-73.91847,40.765107,16.1,2
9,VTS,2011/9/1 4:23,2011/9/1 4:29,2,1.07,-73.976268,40.751227,-73.976268,40.751227,5.3,0
10,CMT,2011/9/1 4:57,2011/9/1 5:13,1,5.4,-73.9841,40.7465,-73.9812,40.7446,14.5,1
11,VTS,2011/9/1 5:05,2011/9/1 5:20,3,6.75,-73.980783,40.72931,-73.90109,40.74267,17.3,0
12,VTS,2011/9/1 6:32,2011/9/1 6:44,2,5.6,-74.007987,40.711603,-73.959883,40.758795,14.9,0
13,VTS,2011/9/1 6:45,2011/9/1 6:51,3,1.99,-73.999742,40.733262,-73.989955,40.75755,6.5,2
14,CMT,2011/9/1 6:53,2011/9/1 6:56,1,0.9,-73.978899,40.741056,-73.988361,40.73301,4.5,1
15,CMT,2011/9/1 7:13,2011/9/1 7:22,1,4.8,-73.97825,40.785976,-73.944292,40.840492,12.9,0
16,VTS,2011/9/1 7:30,2011/9/1 7:43,4,2.28,-73.978343,40.777242,-73.972125,40.75454,8.9,2
17,VTS,2011/9/1 7:30,2011/9/1 7:42,1,2.93,-73.954972,40.787542,-73.982943,40.756122,9.7,0
18,CMT,2011/9/1 8:09,2011/9/1 8:15,1,1,-73.990314,40.756734,-73.992966,40.768287,5.7,0.8
19,VTS,2011/9/1 8:17,2011/9/1 8:30,1,2.79,-73.999828,40.738102,-73.972948,40.764205,9.3,3
20,CMT,2011/9/1 8:27,2011/9/1 8:35,2,1,-73.9912,40.7176,-74.0017,40.7158,6.5,0
21,CMT,2011/9/1 8:28,2011/9/1 8:32,1,0.7,-73.969907,40.757946,-73.972976,40.749183,4.5,0
22,CMT,2011/9/1 8:34,2011/9/1 8:44,1,1.2,-73.979437,40.76467,-73.972923,40.751421,6.9,1.48
23,VTS,2011/9/1 8:42,2011/9/1 8:55,5,1.53,-73.991922,40.750485,-73.976948,40.754312,8.1,1.5
24,VTS,2011/9/1 8:43,2011/9/1 8:57,1,1.8,-73.925508,40.762165,-73.918292,40.77562,8.9,0
25,VTS,2011/9/1 8:48,2011/9/1 9:02,5,2.5,-73.972073,40.74965,-73.996158,40.734647,9.7,2
26,VTS,2011/9/1 9:19,2011/9/1 9:31,1,1.5,-73.989565,40.753225,-73.991578,40.737012,7.7,1
27,CMT,2011/9/1 9:22,2011/9/1 10:02,1,10.7,-73.997081,40.742256,-73.865268,40.770736,30.9,3
28,VTS,2011/9/1 9:43,2011/9/1 9:59,5,4.39,-74.002715,40.760535,-73.953778,40.787767,14.1,0
29,VTS,2011/9/1 10:11,2011/9/1 10:17,2,0.8,-73.990695,40.728395,-73.990483,40.736975,4.9,0
30,VTS,2011/9/1 11:17,2011/9/1 11:22,1,1.03,-73.971038,40.761047,-73.959333,40.777818,5.3,0
31,CMT,2011/9/1 11:42,2011/9/1 11:45,1,0.9,-73.967742,40.756221,-73.975585,40.744564,4.5,1
32,CMT,2011/9/1 11:48,2011/9/1 11:54,1,1.7,-74.013781,40.714085,-74.00267,40.707308,6.5,0
33,VTS,2011/9/1 12:08,2011/9/1 12:25,1,3.12,-73.981485,40.780918,-74.00124,40.745788,11.7,2
34,CMT,2011/9/1 12:08,2011/9/1 12:41,1,13.9,-73.781003,40.645127,-73.882786,40.747273,34.1,0
35,CMT,2011/9/1 12:11,2011/9/1 12:20,0,1.6,-73.9578,40.7614,-73.9774,40.7517,7.3,0
36,CMT,2011/9/1 12:33,2011/9/1 13:17,2,16.7,-73.788798,40.641497,-73.960996,40.719926,40.5,3
37,CMT,2011/9/1 12:43,2011/9/1 12:58,1,2,-73.984269,40.760466,-73.986346,40.738884,9.3,0
38,VTS,2011/9/1 12:57,2011/9/1 13:09,4,1.23,-73.96221,40.776182,-73.968303,40.764802,7.7,1
39,VTS,2011/9/1 13:12,2011/9/1 13:25,4,2.2,-73.974553,40.742035,-73.962487,40.767022,8.1,0
40,VTS,2011/9/1 13:42,2011/9/1 13:52,2,1.18,-73.986973,40.756275,-73.975353,40.756023,6.9,0
41,CMT,2011/9/1 14:05,2011/9/1 14:14,2,1.3,-74.004685,40.742047,-73.991293,40.742334,6.5,1.4
42,CMT,2011/9/1 14:08,2011/9/1 14:18,2,1.3,-73.955,40.78,-73.9673,40.792,7.3,2
43,VTS,2011/9/1 14:10,2011/9/1 14:19,1,0.94,-73.986512,40.721885,-74.000945,40.724315,6.1,2
44,VTS,2011/9/1 14:23,2011/9/1 14:35,5,1.23,-73.988317,40.764195,-73.983947,40.75498,7.7,0
45,CMT,2011/9/1 14:23,2011/9/1 14:26,1,0.5,-73.973202,40.761006,-73.967852,40.765268,3.7,0
46,VTS,2011/9/1 15:07,2011/9/1 15:17,1,1.4,-73.953135,40.77166,-73.967108,40.766767,6.9,0
47,CMT,2011/9/1 15:24,2011/9/1 15:49,1,7.2,-73.970709,40.759044,-74.014653,40.718042,20.5,4.2
48,VTS,2011/9/1 15:26,2011/9/1 15:35,1,1.1,-73.973502,40.743895,-73.975162,40.755065,6.5,2
49,CMT,2011/9/1 15:28,2011/9/1 16:10,2,20.4,-73.789012,40.642255,-73.976295,40.788918,45,0
50,CMT,2011/9/1 15:39,2011/9/1 16:09,1,3.1,-73.974323,40.762498,-73.999317,40.721932,16.1,2.2
51,CMT,2011/9/1 16:06,2011/9/1 16:21,1,2.5,-73.983559,40.743791,-73.956562,40.767232,9.7,0
52,CMT,2011/9/1 16:27,2011/9/1 16:32,1,1,-73.979529,40.77188,-73.974889,40.761968,4.9,1.28
53,VTS,2011/9/1 16:42,2011/9/1 16:54,5,2.52,-74.015947,40.714073,-74.002072,40.740242,9.3,2
54,VTS,2011/9/1 16:51,2011/9/1 17:56,2,17.91,-74.00382,40.747593,-73.776407,40.64505,45,0
55,VTS,2011/9/1 17:14,2011/9/1 17:40,1,3.56,-74.004915,40.729532,-73.966368,40.707162,15.7,0
56,VTS,2011/9/1 17:16,2011/9/1 17:20,1,0.28,-73.992562,40.7437,-73.989807,40.747082,4.1,0
57,VTS,2011/9/1 17:25,2011/9/1 17:38,1,1.93,-73.957657,40.777168,-73.975267,40.752657,8.9,0
58,CMT,2011/9/1 17:28,2011/9/1 17:35,1,1.1,-73.988113,40.750021,-73.981936,40.763028,5.7,1.8
