raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,VTS,2012/3/1 0:12,2012/3/1 0:25,1,3.42,-73.988093,40.728127,-73.958232,40.719358,10.5,2.2
1,VTS,2012/3/1 0:14,2012/3/1 0:21,5,1.32,-73.991008,40.764377,-73.990342,40.75102,6.1,0
2,VTS,2012/3/1 0:28,2012/3/1 0:35,2,2.04,-73.983525,40.742352,-73.986815,40.761252,6.9,0
3,VTS,2012/3/1 0:29,2012/3/1 0:43,1,3.94,-73.98657,40.757597,-73.963232,40.803797,12.1,0
4,VTS,2012/3/1 0:33,2012/3/1 0:39,4,1.55,-74.005,40.718333,-73.993692,40.730463,6.1,1.32
5,VTS,2012/3/1 1:37,2012/3/1 1:59,2,18.5,-73.77672,40.64528,-73.984292,40.696043,39.7,0
6,VTS,2012/3/1 1:38,2012/3/1 1:42,1,0.88,-73.96906,40.755953,-73.975643,40.763985,4.5,0
7,VTS,2012/3/1 2:37,2012/3/1 2:41,1,1.29,-73.960735,40.761257,-73.950922,40.774222,4.9,1.62
8,CMT,2012/3/1 2:49,2012/3/1 2:55,1,2.4,-73.984817,40.759198,-73.956583,40.771333,7.3,0
9,CMT,2012/3/1 6:43,2012/3/1 6:51,1,1.6,-73.991678,40.744148,-73.975257,40.75281,6.9,1
10,CMT,2012/3/1 6:47,2012/3/1 6:54,1,2.6,-73.989798,40.756507,-73.959588,40.775289,8.1,0
11,CMT,2012/3/1 6:48,2012/3/1 6:49,1,0.3,-73.99851,40.755565,-73.995167,40.760085,3.3,0.76
12,CMT,2012/3/1 7:42,2012/3/1 7:47,1,0.9,-73.994692,40.750512,-73.986228,40.760602,4.9,0
13,CMT,2012/3/1 7:58,2012/3/1 8:14,1,1.8,-73.991645,40.750062,-73.968788,40.750168,9.7,0
14,VTS,2012/3/1 8:01,2012/3/1 8:12,1,2.03,-73.981823,40.740795,-73.962742,40.76563,8.1,0
15,CMT,2012/3/1 8:03,2012/3/1 8:18,1,3,-73.951421,40.769657,-73.939167,40.804644,10.9,0
16,CMT,2012/3/1 8:21,2012/3/1 8:44,3,7.9,-73.954705,40.765505,-73.941493,40.841905,20.9,4.25
17,CMT,2012/3/1 8:42,2012/3/1 8:59,1,2.5,-73.967992,40.786904,-73.983149,40.759314,10.9,1.6
18,VTS,2012/3/1 8:45,2012/3/1 8:49,6,0.9,-73.959257,40.777475,-73.954002,40.787267,4.9,1.22
19,VTS,2012/3/1 9:25,2012/3/1 9:54,1,3.9,-73.981772,40.756537,-74.010888,40.709337,16.1,0
20,VTS,2012/3/1 9:26,2012/3/1 9:39,1,2.83,-73.941727,40.798565,-73.954502,40.76566,9.7,0
21,VTS,2012/3/1 9:30,2012/3/1 9:35,1,0.56,-73.978772,40.756242,-73.978772,40.756242,4.5,0
22,VTS,2012/3/1 9:44,2012/3/1 9:59,2,0.73,-73.983492,40.76587,-73.977515,40.760327,8.1,1.5
23,CMT,2012/3/1 10:05,2012/3/1 10:51,1,13.8,-73.866776,40.770428,-74.034118,40.717085,76.25,10
24,VTS,2012/3/1 11:27,2012/3/1 11:43,5,3.45,-73.966208,40.767893,-73.983053,40.735087,12.1,3.02
25,VTS,2012/3/1 11:40,2012/3/1 11:45,1,0.5,-73.9525,40.777907,-73.95722,40.780017,4.5,0
26,CMT,2012/3/1 11:40,2012/3/1 11:50,1,1.2,-73.947458,40.771271,-73.958025,40.782033,6.9,0
27,VTS,2012/3/1 12:06,2012/3/1 12:33,1,4.05,-73.989143,40.736632,-73.95474,40.767275,15.3,3.82
28,CMT,2012/3/1 12:11,2012/3/1 12:22,1,1.5,-73.985212,40.741247,-73.973445,40.76067,7.7,0
29,CMT,2012/3/1 12:11,2012/3/1 12:44,1,6.2,-73.990622,40.730563,-73.958341,40.804963,21.3,2
30,VTS,2012/3/1 12:19,2012/3/1 12:30,1,1.74,-73.958903,40.775102,-73.989707,40.739422,8.1,2
31,CMT,2012/3/1 12:21,2012/3/1 12:27,1,0.9,-73.979504,40.750918,-73.974059,40.759439,5.3,0
32,VTS,2012/3/1 12:41,2012/3/1 12:57,1,2.41,-73.983735,40.762827,-74.001912,40.735195,10.5,0
33,VTS,2012/3/1 13:09,2012/3/1 13:15,1,0.99,-74.008322,40.70761,-74.005117,40.718725,5.3,1.06
34,CMT,2012/3/1 13:15,2012/3/1 13:37,1,6.3,-73.998811,40.724867,-73.970755,40.796461,18.5,0
35,CMT,2012/3/1 13:28,2012/3/1 13:36,2,0.7,-73.958438,40.775372,-73.96599,40.765208,5.7,0
36,CMT,2012/3/1 13:37,2012/3/1 13:49,1,1.3,-73.976049,40.751809,-73.993057,40.747714,7.3,1.5
37,CMT,2012/3/1 13:45,2012/3/1 13:59,1,1.9,-73.982353,40.778744,-73.97638,40.759678,8.9,0
38,CMT,2012/3/1 13:50,2012/3/1 13:52,1,0.4,-73.986516,40.754652,-73.989169,40.748819,3.7,0
39,CMT,2012/3/1 14:10,2012/3/1 14:24,1,2.1,-73.988498,40.737131,-73.965548,40.754525,8.9,0
40,VTS,2012/3/1 14:17,2012/3/1 14:43,6,5.86,-74.015543,40.709117,-73.973152,40.757937,18.1,2
41,CMT,2012/3/1 14:18,2012/3/1 14:23,1,1.2,-73.969825,40.759909,-73.981356,40.746483,4.9,1.08
42,VTS,2012/3/1 14:21,2012/3/1 14:36,1,2.05,-73.975522,40.76106,-73.957182,40.780277,9.7,0
43,VTS,2012/3/1 14:22,2012/3/1 14:31,1,1.54,-73.975847,40.748672,-73.962002,40.767802,6.9,0
44,CMT,2012/3/1 14:30,2012/3/1 14:40,1,1.5,-74.002593,40.739732,-73.987859,40.75582,7.3,1.95
45,VTS,2012/3/1 14:55,2012/3/1 15:24,1,9.19,-73.95474,40.82077,-73.86628,40.769885,24.5,4.9
46,VTS,2012/3/1 14:58,2012/3/1 15:12,1,1.49,-73.961967,40.770925,-73.977665,40.761577,9.3,0
47,CMT,2012/3/1 15:04,2012/3/1 15:19,1,1.4,-73.982215,40.757466,-73.964673,40.764696,8.5,2.25
48,VTS,2012/3/1 15:07,2012/3/1 15:18,1,6.08,-73.88563,40.767477,-73.948127,40.81548,45,10.06
49,CMT,2012/3/1 15:17,2012/3/1 15:31,1,3.3,-73.984813,40.77422,-74.006896,40.736391,11.3,0
50,VTS,2012/3/1 15:34,2012/3/1 16:36,1,15.6,-73.987753,40.763845,-73.80377,40.665012,45,11.25
51,CMT,2012/3/1 15:57,2012/3/1 16:09,1,2.4,-73.979653,40.784492,-73.996532,40.753037,8.9,1.88
52,CMT,2012/3/1 16:01,2012/3/1 16:05,1,0.5,-73.973498,40.764147,-73.977882,40.757652,4.1,1.1
53,VTS,2012/3/1 16:02,2012/3/1 16:22,5,1.81,-73.96243,40.779,-73.973212,40.763592,11.3,0
54,CMT,2012/3/1 16:30,2012/3/1 16:39,2,2.5,-73.969882,40.785496,-73.958493,40.813108,8.5,0
55,CMT,2012/3/1 16:43,2012/3/1 16:55,1,1.6,-73.982716,40.745093,-73.977759,40.763812,8.1,0
56,VTS,2012/3/1 16:48,2012/3/1 17:00,1,3.67,-74.010517,40.718873,-73.991147,40.755085,10.9,0
57,VTS,2012/3/1 16:56,2012/3/1 17:15,2,8.32,-73.782198,40.644767,-73.838752,40.721925,19.7,0
58,VTS,2012/3/1 17:11,2012/3/1 17:18,5,2.03,-73.996437,40.753352,-74.007515,40.7295,6.9,0
59,VTS,2012/3/1 17:22,2012/3/1 17:27,1,1.86,-73.99032,40.766575,-73.975727,40.788827,6.1,0
60,VTS,2012/3/1 17:31,2012/3/1 17:50,1,1.6,-73.973545,40.779692,-73.948425,40.770757,11.3,2.46
61,CMT,2012/3/1 17:53,2012/3/1 18:11,1,3.5,-73.983305,40.767873,-74.002128,40.72532,12.1,1.5
62,VTS,2012/3/1 18:05,2012/3/1 18:09,4,0.62,-74.004452,40.711855,-74.004452,40.711855,4.5,0
63,CMT,2012/3/1 18:15,2012/3/1 18:26,0,1.3,-73.971833,40.781802,-73.960762,40.769968,7.7,1.8
64,CMT,2012/3/1 18:35,2012/3/1 18:56,2,2.9,-73.990916,40.756172,-74.008904,40.72014,12.9,3.6
65,CMT,2012/3/1 19:08,2012/3/1 19:29,1,4.9,-73.984537,40.76102,-73.961996,40.810203,15.7,3.44
66,VTS,2012/3/1 19:24,2012/3/1 19:39,2,2.34,-73.993102,40.72251,-73.97767,40.748922,10.1,2.22
67,CMT,2012/3/1 19:37,2012/3/1 19:54,1,2.1,-73.987347,40.757031,-73.975874,40.735775,10.5,0
68,VTS,2012/3/1 20:09,2012/3/1 20:14,1,0.95,-73.98166,40.778772,-73.985913,40.770987,4.9,1.08
69,CMT,2012/3/1 20:14,2012/3/1 20:30,1,4.4,-74.009094,40.710944,-73.988927,40.766765,12.9,2
70,CMT,2012/3/1 20:30,2012/3/1 20:39,0,1.6,-73.96345,40.79346,-73.959065,40.780385,6.9,0
71,CMT,2012/3/1 20:58,2012/3/1 21:15,1,5.6,-74.006779,40.74158,-73.946047,40.777169,14.9,3.18
72,VTS,2012/3/1 21:37,2012/3/1 21:38,6,0.59,-73.973652,40.74777,-73.97804,40.74181,3.7,0.84
73,CMT,2012/3/1 21:45,2012/3/1 21:57,2,2.6,-73.982507,40.773447,-73.957166,40.783314,9.3,2.57
74,CMT,2012/3/1 22:00,2012/3/1 22:08,2,1.5,-73.961931,40.771193,-73.977703,40.753387,6.9,1.58
75,VTS,2012/3/1 22:31,2012/3/1 22:50,1,5.17,-73.993325,40.727688,-73.977612,40.78683,14.5,3
76,VTS,2012/3/1 22:34,2012/3/1 22:43,2,1.33,-73.982445,40.740285,-73.998623,40.742202,6.5,0
77,CMT,2012/3/1 22:40,2012/3/1 22:46,1,2,-73.955494,40.771835,-73.945986,40.795303,6.5,0
78,VTS,2012/3/1 22:46,2012/3/1 23:19,2,7.49,-73.998947,40.723182,-73.969212,40.803475,23.3,3.5
79,VTS,2012/3/1 22:52,2012/3/1 22:57,1,0.95,-73.994102,40.741235,-73.981087,40.738202,4.9,0
80,VTS,2012/3/1 22:53,2012/3/1 23:04,2,2.72,-73.97334,40.792668,-73.96631,40.764908,8.9,0
81,CMT,2012/3/1 22:55,2012/3/1 23:13,1,3,-73.961924,40.772839,-73.991294,40.755,11.7,1
82,VTS,2012/3/1 23:02,2012/3/1 23:12,1,2.03,-73.95697,40.770998,-73.97563,40.745138,7.7,0
83,VTS,2012/3/1 23:15,2012/3/1 23:32,1,3.22,-73.985483,40.759845,-73.980652,40.74392,11.7,3.66
84,VTS,2012/3/1 23:25,2012/3/1 23:35,1,2.14,-73.981807,40.740855,-73.99994,40.75866,7.7,0
85,VTS,2012/3/1 23:45,2012/3/1 23:54,2,1.38,-73.98566,40.73865,-74.005125,40.740907,6.9,0
86,VTS,2012/3/1 23:48,2012/3/2 0:21,5,7.06,-73.980088,40.75488,-73.967638,40.687577,21.3,4.36
87,VTS,2012/3/2 0:02,2012/3/2 0:09,1,1.74,-73.94573,40.807607,-73.952022,40.788812,6.5,0
88,VTS,2012/3/2 0:16,2012/3/2 0:30,1,3.14,-73.949935,40.772155,-73.985167,40.74786,11.3,0
89,VTS,2012/3/2 1:20,2012/3/2 1:35,1,5.73,-74.002687,40.733447,-73.94417,40.783977,14.5,2.5
90,VTS,2012/3/2 2:08,2012/3/2 2:14,2,1.61,-73.996378,40.747972,-73.994935,40.765382,6.1,0
91,VTS,2012/3/2 2:13,2012/3/2 2:27,1,5.34,-73.98597,40.726745,-73.973707,40.784587,13.7,0
92,CMT,2012/3/2 5:51,2012/3/2 5:53,0,0.5,-73.987907,40.719187,-73.982258,40.72362,3.7,0
93,CMT,2012/3/2 6:36,2012/3/2 6:46,1,3.9,-73.994137,40.751212,-73.952707,40.789413,10.9,0
94,VTS,2012/3/2 6:42,2012/3/2 7:02,1,8.96,-73.98651,40.750275,-73.8728,40.77431,22.1,0
95,VTS,2012/3/2 6:48,2012/3/2 7:02,4,2.69,-73.971053,40.783083,-73.981218,40.752545,10.5,0
96,VTS,2012/3/2 6:59,2012/3/2 7:24,1,11.43,-74.005512,40.726885,-73.861675,40.768313,27.7,6.92
