raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,DDS,2010/5/1 0:01,2010/5/1 0:10,3,1.2,-73.987698,40.73845,-73.983955,40.725391,6.5,1.5
1,CMT,2010/5/1 0:03,2010/5/1 0:06,1,0.8,-73.986976,40.725343,-73.975892,40.728476,4.5,1.1
2,VTS,2010/5/1 0:08,2010/5/1 0:18,2,3.1,-73.865143,40.770498,-73.911348,40.765638,10.1,0
3,DDS,2010/5/1 0:29,2010/5/1 0:33,1,0.8,-73.988906,40.721696,-73.98135,40.733122,4.5,0
4,DDS,2010/5/1 0:30,2010/5/1 0:54,3,10,-73.948849,40.777752,-73.931532,40.868393,22.9,0
5,CMT,2010/5/1 0:33,2010/5/1 0:40,4,1.8,-73.983569,40.726256,-73.977083,40.746979,6.9,0
6,CMT,2010/5/1 1:12,2010/5/1 1:28,2,3.7,-73.957592,40.718022,-73.958603,40.676419,12.9,2.78
7,VTS,2010/5/1 1:19,2010/5/1 1:45,1,7.65,-73.982017,40.757717,-73.943347,40.687332,20.9,0
8,CMT,2010/5/1 1:38,2010/5/1 1:43,1,1.2,-73.976427,40.750633,-73.983014,40.739571,5.3,0
9,CMT,2010/5/1 1:38,2010/5/1 1:52,1,3.7,-73.991273,40.760276,-74.011167,40.720253,11.7,1.5
10,VTS,2010/5/1 1:50,2010/5/1 1:51,1,0.39,-73.987097,40.76263,-73.987097,40.76263,3.3,0
11,VTS,2010/5/1 1:59,2010/5/1 2:06,1,1.71,-73.98791,40.760807,-73.98354,40.777628,6.5,1
12,VTS,2010/5/1 2:15,2010/5/1 2:21,1,1.09,-73.987462,40.750535,-73.979187,40.741178,5.7,0
13,CMT,2010/5/1 2:39,2010/5/1 2:48,3,1.6,-73.992963,40.737377,-73.987707,40.721489,7.3,0
14,VTS,2010/5/1 2:49,2010/5/1 3:02,1,3.1,-73.981108,40.721108,-73.957903,40.719645,10.5,1
15,VTS,2010/5/1 2:57,2010/5/1 3:04,1,0.86,-73.991368,40.727455,-73.992528,40.716433,5.7,0
16,VTS,2010/5/1 3:07,2010/5/1 3:18,2,2.33,-73.996125,40.732498,-74.013315,40.703875,8.5,0
17,VTS,2010/5/1 3:37,2010/5/1 3:43,5,2.28,-73.977632,40.746172,-73.955838,40.771605,6.9,0
18,VTS,2010/5/1 8:33,2010/5/1 8:46,1,4.18,-73.959092,40.799788,-73.974662,40.753757,12.1,1
19,CMT,2010/5/1 9:10,2010/5/1 9:21,1,2.3,-73.956421,40.78679,-73.983443,40.774381,8.5,0
20,VTS,2010/5/1 9:42,2010/5/1 9:46,1,1.04,-73.981983,40.740293,-73.982048,40.751793,4.9,0
21,VTS,2010/5/1 9:56,2010/5/1 10:04,1,1.6,-73.964613,40.771585,-73.947112,40.779867,6.5,0
22,CMT,2010/5/1 10:01,2010/5/1 10:13,1,2.2,-74.008207,40.737513,-73.980255,40.723969,8.5,0
23,CMT,2010/5/1 10:15,2010/5/1 10:23,3,1.4,-73.977606,40.788736,-73.955845,40.779561,6.5,0
24,CMT,2010/5/1 10:31,2010/5/1 10:38,1,1.2,-73.975088,40.76516,-73.985794,40.763775,6.1,0
25,VTS,2010/5/1 10:55,2010/5/1 11:00,1,1.13,-73.9999,40.733195,-73.9863,40.737417,4.9,1
26,CMT,2010/5/1 11:06,2010/5/1 11:13,1,1.4,-73.982256,40.762649,-73.965586,40.771527,6.1,0
27,CMT,2010/5/1 11:23,2010/5/1 12:01,1,6.3,-73.921345,40.743598,-73.990061,40.737037,22.9,0
28,CMT,2010/5/1 11:32,2010/5/1 11:35,2,0.5,-73.947594,40.783771,-73.953308,40.778575,3.7,0
29,VTS,2010/5/1 11:34,2010/5/1 11:55,2,3.57,-73.985792,40.722855,-73.990205,40.759897,13.7,2
30,CMT,2010/5/1 11:47,2010/5/1 12:04,1,2.2,-73.972304,40.762796,-73.982314,40.78269,10.9,0
31,VTS,2010/5/1 11:58,2010/5/1 12:06,1,1.34,-73.99864,40.724695,-74.003418,40.738663,6.5,0
32,VTS,2010/5/1 12:00,2010/5/1 12:09,5,1.67,-73.981355,40.768963,-73.99006,40.751442,7.3,0
33,CMT,2010/5/1 12:06,2010/5/1 12:13,1,1.3,-73.99851,40.760853,-73.994678,40.750502,6.1,1.4
34,VTS,2010/5/1 12:12,2010/5/1 12:16,5,0.77,-73.982937,40.769033,-73.980815,40.76334,4.5,0
35,VTS,2010/5/1 12:17,2010/5/1 12:29,1,2.58,-73.957012,40.774242,-73.969178,40.799415,9.3,0
36,VTS,2010/5/1 12:30,2010/5/1 12:38,5,1.6,-73.967593,40.792685,-73.983458,40.77522,6.9,0
37,CMT,2010/5/1 12:49,2010/5/1 13:06,1,4.4,-73.99436,40.750087,-73.970127,40.79954,14.5,0
38,CMT,2010/5/1 12:50,2010/5/1 13:16,3,5.5,-73.960935,40.769883,-74.006327,40.739737,17.7,0
39,VTS,2010/5/1 13:00,2010/5/1 13:03,1,0.42,-73.98568,40.758727,-73.992647,40.759322,3.7,0
40,VTS,2010/5/1 13:48,2010/5/1 13:59,1,1.15,-73.985727,40.731448,-74.001225,40.736445,6.9,0
41,VTS,2010/5/1 14:08,2010/5/1 14:21,1,2.26,-73.947287,40.784195,-73.971575,40.764502,9.3,1
