raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,CMT,2009/12/1 0:20,2009/12/1 0:28,1,1,-73.985532,40.74155,-73.994824,40.750286,6.1,0
1,CMT,2009/12/1 1:15,2009/12/1 1:18,1,0.5,-73.974997,40.755434,-73.970066,40.750836,4.1,1
2,VTS,2009/12/1 2:14,2009/12/1 2:18,1,0.54,-73.991167,40.744783,-73.982225,40.741043,4.1,0
3,VTS,2009/12/1 3:35,2009/12/1 3:53,1,6.83,-74.001742,40.726192,-73.926173,40.766912,17.3,0
4,VTS,2009/12/1 4:19,2009/12/1 4:28,1,3.56,-74.008172,40.736945,-73.985503,40.773312,10.1,0
5,CMT,2009/12/1 4:19,2009/12/1 4:21,1,0.5,-73.987552,40.724768,-73.980243,40.72394,3.3,0
6,VTS,2009/12/1 5:35,2009/12/1 5:47,5,8.78,-73.973495,40.75192,-73.87271,40.774317,20.1,4.12
7,VTS,2009/12/1 6:33,2009/12/1 6:52,1,7.21,-73.948253,40.782838,-73.885707,40.773232,19.3,0
8,VTS,2009/12/1 6:49,2009/12/1 6:59,1,2.71,-73.994978,40.750385,-74.010337,40.720232,8.5,0
9,DDS,2009/12/1 7:10,2009/12/1 7:13,1,18.1,-73.989475,40.732315,-73.989451,40.732297,45,0
10,VTS,2009/12/1 7:25,2009/12/1 7:29,1,0.77,-73.98016,40.749713,-73.976612,40.756087,4.1,0
11,VTS,2009/12/1 7:48,2009/12/1 7:52,5,0.55,-73.97844,40.762817,-73.981568,40.768542,4.5,0
12,CMT,2009/12/1 8:44,2009/12/1 8:57,2,1.6,-73.960068,40.762081,-73.982833,40.77524,8.5,0
13,VTS,2009/12/1 8:47,2009/12/1 8:57,1,1.79,-73.997548,40.74149,-73.996642,40.723563,7.7,0
14,CMT,2009/12/1 8:57,2009/12/1 9:09,1,1.7,-73.959505,40.771048,-73.97253,40.752599,8.1,0
15,CMT,2009/12/1 9:02,2009/12/1 9:07,2,0.8,-73.961902,40.759628,-73.957285,40.769331,4.5,0
16,VTS,2009/12/1 9:09,2009/12/1 9:17,5,1.24,-73.996225,40.732263,-73.978482,40.724617,5.7,0
17,CMT,2009/12/1 9:29,2009/12/1 9:49,1,2.8,-73.978067,40.752291,-73.995258,40.736714,12.5,3.25
18,VTS,2009/12/1 9:30,2009/12/1 9:34,1,0.58,-73.978037,40.718768,-73.987727,40.722677,4.1,0
19,VTS,2009/12/1 9:36,2009/12/1 9:45,2,0.87,-73.961473,40.777172,-73.96065,40.768077,6.1,0
20,VTS,2009/12/1 9:40,2009/12/1 10:06,5,7.39,-73.989302,40.726405,-73.967118,40.801968,20.9,2
21,CMT,2009/12/1 9:41,2009/12/1 9:43,1,0.3,-73.981276,40.746665,-73.978346,40.750411,2.9,0.51
22,CMT,2009/12/1 9:43,2009/12/1 10:06,1,8.5,-73.863587,40.76998,-73.948476,40.783219,21.3,0
23,VTS,2009/12/1 9:51,2009/12/1 9:59,2,0.78,-73.983878,40.763562,-73.989057,40.75583,5.7,0
24,CMT,2009/12/1 10:11,2009/12/1 10:23,1,1.1,-73.962089,40.763538,-73.974556,40.754492,8.1,1.72
25,VTS,2009/12/1 11:12,2009/12/1 11:15,5,0.37,-73.982083,40.757712,-73.979715,40.761868,3.7,0
26,CMT,2009/12/1 11:25,2009/12/1 11:36,1,2.2,-73.995646,40.730792,-74.014657,40.718016,8.5,2
27,CMT,2009/12/1 11:37,2009/12/1 12:01,1,5.8,-74.01138,40.701827,-73.970265,40.760182,18.9,0
28,VTS,2009/12/1 11:56,2009/12/1 12:07,5,1.72,-74.205752,40.672347,-74.205752,40.672347,7.7,0
29,VTS,2009/12/1 12:16,2009/12/1 12:30,1,2.65,-74.013048,40.707848,-73.989752,40.733507,10.1,0
30,DDS,2009/12/1 12:22,2009/12/1 12:32,1,0.9,-73.987532,40.750773,-74.00094,40.757285,6.1,0
31,VTS,2009/12/1 12:30,2009/12/1 13:01,3,6.43,-73.954263,40.763958,-73.88769,40.715883,20.5,0
32,VTS,2009/12/1 12:38,2009/12/1 12:47,4,0.94,-73.973083,40.764983,-73.977168,40.753415,6.1,0
33,CMT,2009/12/1 12:59,2009/12/1 13:07,2,1.2,-73.968782,40.762492,-73.979694,40.746625,6.5,0
34,VTS,2009/12/1 13:06,2009/12/1 13:33,1,1.48,-73.994095,40.750843,-73.979235,40.757825,13.7,0
35,VTS,2009/12/1 13:19,2009/12/1 13:19,5,0,-73.975093,40.761968,-73.975093,40.761968,45,0
36,VTS,2009/12/1 13:30,2009/12/1 13:36,1,0.78,-73.988665,40.722558,-73.998657,40.721038,5.3,0
37,CMT,2009/12/1 13:41,2009/12/1 13:55,1,1.4,-73.994796,40.744867,-73.979612,40.752491,8.5,1.35
38,CMT,2009/12/1 13:45,2009/12/1 14:07,1,2.5,-74.01446,40.704603,-73.995463,40.727042,12.9,2.68
39,CMT,2009/12/1 14:06,2009/12/1 14:17,1,2.1,-73.98885,40.748901,-73.996553,40.725611,8.5,0
40,DDS,2009/12/1 14:12,2009/12/1 14:24,1,2.1,-73.979455,40.752459,-73.998169,40.73036,8.1,2.55
41,CMT,2009/12/1 14:12,2009/12/1 14:32,1,3.8,-73.983607,40.746574,-73.972183,40.78975,13.3,0
42,VTS,2009/12/1 14:22,2009/12/1 14:33,2,1.5,-73.9711,40.763448,-73.956703,40.781002,7.3,0
43,VTS,2009/12/1 14:35,2009/12/1 15:00,1,10.02,-73.988753,40.693135,-73.872488,40.774448,25.3,2
44,VTS,2009/12/1 14:55,2009/12/1 15:08,1,3.72,-74.016292,40.704912,-73.993787,40.736968,11.3,0
