raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,CMT,2012/4/1 0:03,2012/4/1 0:22,3,2.3,-73.977566,40.742958,-73.985719,40.721994,11.3,0
1,VTS,2012/4/1 0:09,2012/4/1 0:15,1,1.51,-73.981607,40.771152,-73.970607,40.758952,6.1,0
2,VTS,2012/4/1 0:21,2012/4/1 0:34,4,1.64,-73.990985,40.739552,-74.006412,40.73924,8.5,1
3,VTS,2012/4/1 0:22,2012/4/1 0:28,1,1.14,-74.00447,40.742162,-73.996383,40.748137,5.7,1
4,CMT,2012/4/1 0:27,2012/4/1 0:42,4,3.8,-74.005192,40.736239,-74.031171,40.727259,40,6
5,VTS,2012/4/1 0:49,2012/4/1 1:07,1,7.67,-73.938513,40.747655,-73.942565,40.72131,19.7,2
6,VTS,2012/4/1 1:04,2012/4/1 1:33,1,5.99,-73.9994,40.734423,-73.977638,40.669172,19.7,0
7,VTS,2012/4/1 1:16,2012/4/1 1:40,1,5.64,-73.979225,40.740317,-73.959273,40.685357,17.3,2
8,CMT,2012/4/1 1:22,2012/4/1 1:30,2,1.8,-74.004337,40.742412,-73.986083,40.758639,6.9,0
9,VTS,2012/4/1 2:00,2012/4/1 2:14,1,7.19,-73.96057,40.761807,-74.009822,40.70877,18.1,5.58
10,CMT,2012/4/1 2:01,2012/4/1 2:12,3,2.5,-73.982743,40.75052,-73.99779,40.720765,8.9,0
11,CMT,2012/4/1 2:05,2012/4/1 2:15,3,1.9,-73.991344,40.722898,-74.001459,40.741273,8.1,1
12,CMT,2012/4/1 2:08,2012/4/1 2:21,1,3.5,-74.00083,40.741869,-73.982523,40.771609,11.3,0
13,CMT,2012/4/1 2:23,2012/4/1 2:27,2,0.8,-73.988938,40.736527,-73.981091,40.744766,4.5,0
14,CMT,2012/4/1 2:24,2012/4/1 2:47,3,18.2,-73.782001,40.644803,-73.98543,40.760803,45,0
15,CMT,2012/4/1 3:23,2012/4/1 3:31,1,1.1,-74.008113,40.709941,-74.016064,40.711283,6.5,0
16,CMT,2012/4/1 3:36,2012/4/1 3:39,2,0.6,-73.985237,40.727608,-73.977064,40.722624,3.7,0
17,VTS,2012/4/1 4:05,2012/4/1 4:27,1,13.51,-74.004195,40.719705,-73.995645,40.60018,30.9,40
18,CMT,2012/4/1 4:11,2012/4/1 4:22,4,1.6,-73.980072,40.722412,-73.999813,40.715228,8.1,0
19,CMT,2012/4/1 4:14,2012/4/1 4:34,1,5.1,-73.986404,40.745894,-73.999484,40.693368,15.7,5
20,CMT,2012/4/1 4:18,2012/4/1 4:26,1,2.2,-74.004229,40.742468,-74.010569,40.713755,8.1,0
21,VTS,2012/4/1 4:25,2012/4/1 4:40,1,4.79,-74.001982,40.73962,-73.950595,40.775357,13.3,3.45
22,VTS,2012/4/1 4:40,2012/4/1 4:55,1,3.86,-73.98958,40.763223,-73.979343,40.72321,12.1,2.52
23,VTS,2012/4/1 4:54,2012/4/1 5:09,2,4.85,-73.987255,40.722417,-73.954762,40.780042,13.3,0
24,CMT,2012/4/1 5:03,2012/4/1 5:11,3,1.4,-73.986715,40.747842,-73.985501,40.731859,6.9,1.8
25,VTS,2012/4/1 6:28,2012/4/1 6:38,2,3.66,-74.005755,40.717522,-73.973295,40.749207,10.5,2.1
26,VTS,2012/4/1 6:57,2012/4/1 6:59,1,0.83,-73.97674,40.747807,-73.98631,40.748755,4.1,0
27,VTS,2012/4/1 8:44,2012/4/1 8:51,1,2.42,-73.984043,40.755067,-73.955127,40.768883,7.7,0
28,VTS,2012/4/1 9:32,2012/4/1 9:41,2,1.73,-73.989147,40.757638,-73.973478,40.779568,7.3,0
29,VTS,2012/4/1 9:35,2012/4/1 9:50,1,3.59,-73.953763,40.779743,-73.99574,40.758947,12.1,2.42
30,CMT,2012/4/1 10:26,2012/4/1 10:34,1,1.5,-73.999608,40.738962,-73.992407,40.725029,6.9,1.48
31,VTS,2012/4/1 10:42,2012/4/1 11:12,1,7.9,-73.990327,40.761497,-73.98339,40.677575,23.3,0
32,CMT,2012/4/1 10:47,2012/4/1 10:49,2,1,-73.960025,40.762154,-73.949995,40.772127,4.5,0
33,VTS,2012/4/1 10:50,2012/4/1 11:00,2,2.33,-73.973487,40.769195,-73.948042,40.774722,8.9,0
34,VTS,2012/4/1 11:11,2012/4/1 11:21,5,1.73,-73.987668,40.738498,-73.984548,40.72164,7.3,0
35,VTS,2012/4/1 11:27,2012/4/1 11:46,1,0.44,-73.97768,40.763377,-74.009067,40.71088,13.7,3
36,VTS,2012/4/1 11:37,2012/4/1 11:44,5,1.98,-73.99756,40.76192,-73.990525,40.74247,6.9,0
37,CMT,2012/4/1 11:43,2012/4/1 11:46,1,0.7,-73.982228,40.775518,-73.976124,40.783077,4.1,1
38,VTS,2012/4/1 11:47,2012/4/1 11:49,5,0.9,-73.962393,40.795007,-73.954085,40.801,4.5,0
39,VTS,2012/4/1 11:51,2012/4/1 12:00,1,1.77,-73.991693,40.75963,-73.989678,40.740718,6.5,0
40,VTS,2012/4/1 11:58,2012/4/1 12:07,2,1.31,-74.013808,40.709358,-74.003352,40.722833,6.5,1.95
41,VTS,2012/4/1 12:26,2012/4/1 12:32,2,1.65,-73.958032,40.816198,-73.971605,40.79479,6.5,1.3
42,VTS,2012/4/1 12:30,2012/4/1 13:02,1,13.6,-73.862832,40.769062,-74.01339,40.704552,32.9,6.58
43,VTS,2012/4/1 12:58,2012/4/1 13:12,1,2.54,-74.008722,40.704343,-73.986955,40.729037,9.7,0
44,VTS,2012/4/1 13:03,2012/4/1 13:10,1,0.83,-73.997072,40.684607,-73.991718,40.68488,5.3,0
45,CMT,2012/4/1 13:03,2012/4/1 13:07,2,0.9,-73.973859,40.773868,-73.970298,40.769189,4.5,0.5
46,VTS,2012/4/1 13:04,2012/4/1 13:17,2,4.94,-73.986637,40.72225,-73.949963,40.772097,14.1,2.82
47,VTS,2012/4/1 13:14,2012/4/1 13:26,2,2.43,-73.97296,40.749855,-73.988878,40.722798,8.5,1.5
48,CMT,2012/4/1 13:30,2012/4/1 13:34,2,0.8,-74.001282,40.730956,-73.994168,40.74116,4.5,1
49,VTS,2012/4/1 13:31,2012/4/1 13:35,5,1.39,-73.954812,40.767157,-73.951673,40.782072,5.7,1.14
50,CMT,2012/4/1 13:48,2012/4/1 13:53,1,1.2,-73.977321,40.753437,-73.966481,40.765062,5.7,1.24
51,VTS,2012/4/1 14:26,2012/4/1 14:39,6,7.58,-73.87086,40.773767,-73.949408,40.785325,18.1,3.62
52,VTS,2012/4/1 14:31,2012/4/1 14:50,1,2.81,-73.998782,40.719937,-73.986915,40.749397,12.1,2.42
53,VTS,2012/4/1 14:35,2012/4/1 14:38,4,0.96,-73.998452,40.748295,-73.998697,40.746092,4.5,0
54,VTS,2012/4/1 14:40,2012/4/1 14:45,5,1,-73.963127,40.771935,-73.969997,40.762602,5.3,1.06
55,VTS,2012/4/1 14:50,2012/4/1 15:03,5,1.37,-73.986238,40.767098,-73.998828,40.755118,7.3,0
56,CMT,2012/4/1 14:54,2012/4/1 15:10,1,2.8,-74.007632,40.732625,-74.006456,40.70619,10.9,1
57,CMT,2012/4/1 15:00,2012/4/1 15:09,2,1.8,-73.992606,40.723782,-73.984025,40.746699,7.7,1.5
