raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,DDS,2009/1/1 0:19,2009/1/1 0:27,2,1,-73.959461,40.767617,-73.961427,40.77725,5.7,0
1,DDS,2009/1/1 0:22,2009/1/1 0:28,3,1.4,-73.983411,40.738396,-73.97069,40.756298,5.7,0
2,CMT,2009/1/1 0:25,2009/1/1 0:27,1,0.2,-73.985716,40.735385,-73.988326,40.731938,3.8,0
3,CMT,2009/1/1 0:34,2009/1/1 0:37,4,0.6,-73.980532,40.738397,-73.978522,40.745155,4.6,0
4,CMT,2009/1/1 1:48,2009/1/1 2:06,1,5.1,-74.004112,40.731844,-73.970671,40.789284,14.6,0
5,CMT,2009/1/1 2:13,2009/1/1 2:17,1,1.2,-73.94965,40.822482,-73.957608,40.806555,5.8,0
6,DDS,2009/1/1 2:15,2009/1/1 2:29,1,4.9,-73.978483,40.753769,-73.944703,40.808444,12.9,0
7,CMT,2009/1/1 2:40,2009/1/1 2:59,4,4.3,-73.944996,40.727528,-73.89102,40.703818,14.2,0
8,CMT,2009/1/1 3:25,2009/1/1 3:34,1,2.3,-73.983349,40.761233,-73.95705,40.778402,8.6,0
9,CMT,2009/1/1 4:02,2009/1/1 4:06,2,1,-73.978382,40.745648,-73.982822,40.735347,5.4,0
10,CMT,2009/1/1 4:14,2009/1/1 4:19,1,1.5,-73.973436,40.760945,-73.953889,40.766877,6.2,0
11,DDS,2009/1/1 5:47,2009/1/1 5:55,1,1.2,-73.992033,40.74419,-73.991654,40.744387,5.3,0
12,CMT,2009/1/1 6:25,2009/1/1 6:32,1,1.4,-73.991635,40.735356,-73.991562,40.749946,6.1,1
13,CMT,2009/1/1 10:32,2009/1/1 10:36,1,1.2,-73.974068,40.751558,-73.97278,40.765046,5.3,0
14,CMT,2009/1/1 11:39,2009/1/1 11:43,1,0.6,-73.981394,40.749338,-73.990636,40.750509,4.1,0
15,VTS,2009/1/1 12:10,2009/1/1 12:14,1,0.42,-73.993858,40.751265,-73.990223,40.756623,4.1,0
16,CMT,2009/1/1 12:17,2009/1/1 12:19,2,0.3,-73.967756,40.76593,-73.971712,40.764954,3.3,0
17,CMT,2009/1/1 12:59,2009/1/1 13:01,3,1.1,-73.953846,40.775082,-73.965526,40.761886,4.9,0
18,CMT,2009/1/1 13:34,2009/1/1 13:35,1,0.1,-74.014308,40.703973,-74.01339,40.703288,2.5,0
19,VTS,2009/1/1 13:52,2009/1/1 14:08,2,3.67,-73.974927,40.751933,-73.980338,40.785462,12.1,0
20,CMT,2009/1/1 14:24,2009/1/1 14:39,4,5.2,-74.015975,40.711223,-73.976624,40.765739,14.5,0
21,VTS,2009/1/1 14:34,2009/1/1 14:36,5,0.4,-73.982902,40.758242,-73.979292,40.755172,3.7,0
22,VTS,2009/1/1 14:40,2009/1/1 14:47,5,2.14,-73.965067,40.737973,-73.962432,40.762525,7.3,0
23,VTS,2009/1/1 14:44,2009/1/1 14:46,1,0.61,-73.986142,40.756987,-73.991493,40.74908,3.7,0
24,CMT,2009/1/1 14:47,2009/1/1 14:51,2,1,-73.975603,40.781559,-73.982356,40.768204,4.9,0
25,CMT,2009/1/1 14:48,2009/1/1 14:54,4,0.6,-73.966799,40.764081,-73.975598,40.764099,5.3,0
26,VTS,2009/1/1 14:53,2009/1/1 14:58,4,1.61,-73.956188,40.787432,-73.96045,40.769768,5.7,0
27,VTS,2009/1/1 15:20,2009/1/1 15:22,1,0.51,-73.994772,40.745255,-74.003345,40.747943,3.7,0
28,VTS,2009/1/1 15:32,2009/1/1 15:41,1,1.76,-73.980687,40.73389,-74.003213,40.735247,7.3,0
29,VTS,2009/1/1 16:00,2009/1/1 16:18,1,5.98,-74.009613,40.7019,-73.977147,40.760902,17.3,0
30,VTS,2009/1/1 16:03,2009/1/1 16:09,2,1.29,-74.007795,40.71243,-74.005728,40.724965,5.7,0
31,CMT,2009/1/1 16:06,2009/1/1 16:24,5,4.4,-73.944981,40.808529,-73.989737,40.762289,13.7,0
32,CMT,2009/1/1 16:13,2009/1/1 16:28,2,2.8,-73.995319,40.72709,-73.973665,40.759801,10.9,0
33,DDS,2009/1/1 16:15,2009/1/1 16:24,1,2.7,-73.975617,40.781806,-73.991346,40.749912,8.5,0
34,VTS,2009/1/1 16:38,2009/1/1 16:47,2,2.54,-73.981845,40.77284,-73.952975,40.78257,8.1,0
35,VTS,2009/1/1 16:55,2009/1/1 17:03,1,1.79,-73.990772,40.750802,-73.973392,40.762357,6.9,0
36,DDS,2009/1/1 17:02,2009/1/1 17:19,3,1.8,-73.973106,40.755078,-73.985779,40.758666,9.7,0
37,VTS,2009/1/1 17:11,2009/1/1 17:16,2,1.62,-73.969085,40.750745,-73.958507,40.767127,6.1,0
38,VTS,2009/1/1 17:11,2009/1/1 17:14,1,1.18,-73.994253,40.76127,-73.983557,40.775895,4.9,0
39,CMT,2009/1/1 17:30,2009/1/1 17:33,1,0.4,-74.00115,40.731649,-74.006304,40.733532,4.1,0
40,VTS,2009/1/1 17:33,2009/1/1 17:40,1,1.43,-73.989677,40.750533,-73.982528,40.763603,6.1,0
41,CMT,2009/1/1 17:40,2009/1/1 17:46,4,1.4,-73.982183,40.775052,-73.965136,40.771611,5.7,0
42,VTS,2009/1/1 18:05,2009/1/1 18:21,1,3.04,-73.985228,40.71872,-73.992328,40.749252,10.9,0
43,CMT,2009/1/1 18:25,2009/1/1 18:28,1,0.6,-73.989165,40.769358,-73.982424,40.777291,4.1,0
44,CMT,2009/1/1 18:29,2009/1/1 18:36,4,1.5,-73.983189,40.761027,-73.961854,40.759746,6.1,0
45,CMT,2009/1/1 18:34,2009/1/1 18:47,2,3.3,-73.968022,40.762449,-73.989683,40.72302,10.9,0
46,CMT,2009/1/1 18:34,2009/1/1 18:43,4,1.8,-73.959199,40.777785,-73.982108,40.774357,7.7,0
47,VTS,2009/1/1 18:53,2009/1/1 19:14,1,6.8,-73.991082,40.750172,-73.985622,40.666058,18.5,0
48,VTS,2009/1/1 19:06,2009/1/1 19:11,1,1.16,-73.985882,40.734965,-73.99898,40.74451,5.3,0
49,CMT,2009/1/1 19:22,2009/1/1 19:34,2,5.6,-73.951939,40.777902,-73.988087,40.72141,14.9,0
50,CMT,2009/1/1 20:32,2009/1/1 20:51,3,5.6,-73.986829,40.716046,-73.9795,40.778508,16.2,0
51,DDS,2009/1/1 20:34,2009/1/1 20:37,1,0.4,-73.989688,40.716924,-73.981444,40.714467,3.7,0
52,CMT,2009/1/1 20:41,2009/1/1 20:46,2,1,-73.977772,40.753333,-73.992565,40.749668,5.8,0
53,VTS,2009/1/1 20:44,2009/1/1 20:53,6,1.89,-73.97482,40.7459,-73.9733,40.744253,7.3,0
54,VTS,2009/1/1 21:04,2009/1/1 21:11,1,1.29,-73.989952,40.748318,-73.98557,40.762953,6.1,0
55,CMT,2009/1/1 21:32,2009/1/1 21:38,4,0.5,-73.974707,40.761543,-73.982279,40.76145,5.4,0
56,CMT,2009/1/1 21:32,2009/1/1 21:36,1,1.2,-73.998656,40.750308,-73.995122,40.760151,5.8,0
57,VTS,2009/1/1 21:38,2009/1/1 21:46,1,1.92,-73.953902,40.766643,-73.975585,40.752702,7.3,0
58,VTS,2009/1/1 21:38,2009/1/1 21:42,5,0.78,-73.97288,40.764697,-73.972303,40.75657,4.5,0
59,CMT,2009/1/1 22:06,2009/1/1 22:12,1,1.2,-73.980947,40.744669,-73.987021,40.729576,6.2,0
60,CMT,2009/1/1 22:08,2009/1/1 22:22,1,7.7,-73.862774,40.76908,-73.939917,40.811521,19,0
61,CMT,2009/1/1 22:11,2009/1/1 22:15,1,1,-73.986308,40.755424,-73.975322,40.762755,5.4,0
62,CMT,2009/1/1 22:21,2009/1/1 22:25,1,0.7,-73.98205,40.774079,-73.982222,40.782903,5,0
63,VTS,2009/1/1 23:30,2009/1/1 23:36,5,1.19,-73.977053,40.726575,-73.984063,40.737557,5.7,0
64,VTS,2009/1/1 23:35,2009/1/1 23:45,2,2.56,-73.982178,40.771448,-73.962962,40.795125,8.5,0
65,CMT,2009/1/1 23:37,2009/1/1 23:49,1,5.6,-73.981703,40.750563,-74.016012,40.705009,15.4,1
66,CMT,2009/1/2 0:25,2009/1/2 0:39,4,4.2,-73.998658,40.72972,-73.95673,40.770991,12.6,0
67,CMT,2009/1/2 0:35,2009/1/2 0:56,1,14.1,-73.782169,40.644739,-73.930252,40.628077,32.2,0
68,VTS,2009/1/2 0:37,2009/1/2 0:41,5,3.32,-73.990952,40.734108,-73.992955,40.697688,9.7,0
69,VTS,2009/1/2 0:39,2009/1/2 0:48,2,2.77,-73.982125,40.77533,-73.964517,40.803287,9.7,2
70,CMT,2009/1/2 1:01,2009/1/2 1:04,1,0.8,-73.991035,40.733892,-73.99017,40.725257,4.6,0
71,VTS,2009/1/2 1:59,2009/1/2 2:05,5,4.67,-73.985767,40.740667,-73.924665,40.742032,12.1,5
72,VTS,2009/1/2 4:28,2009/1/2 4:33,1,1.57,-74.004675,40.75199,-73.990507,40.75757,6.1,0
