raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,VTS,2012/11/1 1:24,2012/11/1 1:29,1,1.8,-73.96736,40.756652,-73.9859,40.743622,7,1.5
1,VTS,2012/11/1 2:39,2012/11/1 2:41,1,0.4,-73.993452,40.75219,-73.989465,40.756867,3.5,0
2,CMT,2012/11/1 2:41,2012/11/1 2:48,1,2,-73.957344,40.801794,-73.958759,40.779258,9,3
3,CMT,2012/11/1 3:18,2012/11/1 3:22,1,1,-73.996807,40.760171,-74.000606,40.747724,5.5,0
4,VTS,2012/11/1 4:20,2012/11/1 4:30,1,2.23,-73.969362,40.757507,-73.981523,40.778595,10,0
5,CMT,2012/11/1 4:58,2012/11/1 5:03,1,1.4,-73.953707,40.798699,-73.949899,40.785397,6,0
6,VTS,2012/11/1 7:03,2012/11/1 8:11,1,11.75,-73.85324,40.727025,-73.997893,40.738707,47,9.4
7,VTS,2012/11/1 7:15,2012/11/1 7:40,6,7.98,-73.987765,40.760357,-73.941745,40.84209,28,3
8,CMT,2012/11/1 7:24,2012/11/1 7:37,1,2.6,-73.96626,40.794661,-73.965714,40.765522,11.5,2.4
9,VTS,2012/11/1 7:30,2012/11/1 7:45,1,3.91,-73.993442,40.751707,-73.947842,40.770967,14,1.5
10,VTS,2012/11/1 7:45,2012/11/1 8:06,1,2.9,-73.97262,40.79421,-73.99909,40.75985,15.5,4.65
11,VTS,2012/11/1 8:41,2012/11/1 8:50,1,1.92,-73.97516,40.757662,-73.956515,40.776337,9,1.8
12,VTS,2012/11/1 8:46,2012/11/1 9:15,5,2.02,-73.982145,40.775192,-73.972153,40.754525,17.5,3.5
13,CMT,2012/11/1 9:00,2012/11/1 9:14,1,1.6,-73.962347,40.770344,-73.980795,40.753835,10.5,0
14,VTS,2012/11/1 9:02,2012/11/1 9:17,2,4.2,-73.982355,40.762865,-74.009457,40.710397,14.5,2.9
15,CMT,2012/11/1 9:53,2012/11/1 10:05,2,2,-74.001939,40.732741,-73.989543,40.757626,10.5,2.75
16,CMT,2012/11/1 10:06,2012/11/1 10:22,1,6.8,-73.990052,40.719271,-73.9526,40.783695,21.5,0
17,CMT,2012/11/1 10:10,2012/11/1 10:14,1,0.3,-73.987517,40.762783,-73.981855,40.761888,4,0
18,CMT,2012/11/1 10:51,2012/11/1 11:00,1,1.5,-73.953021,40.768158,-73.969273,40.756007,8,1.7
19,CMT,2012/11/1 11:01,2012/11/1 11:09,1,1.8,-74.003792,40.732099,-74.011396,40.708112,7.5,0
20,CMT,2012/11/1 11:05,2012/11/1 11:15,1,1.8,-73.966709,40.804402,-73.983771,40.780689,9,0
21,VTS,2012/11/1 11:24,2012/11/1 12:08,1,21.82,-74.005707,40.737362,-74.183747,40.688462,78,0
22,VTS,2012/11/1 11:27,2012/11/1 11:46,3,5.73,-73.991453,40.750128,-74.008917,40.704442,19.5,4.88
23,CMT,2012/11/1 11:46,2012/11/1 11:50,1,1,-73.975273,40.760921,-73.985366,40.747782,5.5,0
24,VTS,2012/11/1 12:18,2012/11/1 12:30,1,1.12,-73.952607,40.772127,-73.965792,40.765235,9,1.8
25,VTS,2012/11/1 12:43,2012/11/1 12:47,1,0.61,-73.964915,40.806645,-73.970528,40.798737,4.5,0
26,CMT,2012/11/1 12:48,2012/11/1 13:04,1,7.8,-73.994613,40.74039,-73.925942,40.811701,23.5,4.8
27,CMT,2012/11/1 13:16,2012/11/1 13:27,1,2.4,-73.982417,40.764975,-73.998452,40.735313,10,2.1
28,VTS,2012/11/1 13:46,2012/11/1 13:53,1,2.14,-74.001253,40.762032,-74.005145,40.734625,8.5,0
29,CMT,2012/11/1 14:10,2012/11/1 14:31,1,8.6,-74.013967,40.713853,-73.955032,40.779282,26.5,2
30,VTS,2012/11/1 14:20,2012/11/1 14:37,1,2.77,-73.989007,40.748047,-73.99387,40.718267,13,0
31,CMT,2012/11/1 14:31,2012/11/1 14:42,1,3.7,-73.781858,40.644658,-73.825453,40.662915,13,0
