raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,CMT,2011/11/1 0:12,2011/11/1 0:26,1,8.2,-73.874612,40.774103,-73.971568,40.747877,19.7,0
1,VTS,2011/11/1 0:56,2011/11/1 1:11,4,2.93,-73.97628,40.753978,-73.991633,40.722592,10.5,0
2,CMT,2011/11/1 1:15,2011/11/1 1:26,1,2.1,-73.971412,40.749333,-73.998,40.763984,8.9,0
3,VTS,2011/11/1 1:32,2011/11/1 1:41,1,1.74,-73.99253,40.748807,-73.983467,40.734397,7.3,0
4,VTS,2011/11/1 2:12,2011/11/1 2:30,1,5.57,-73.992022,40.721927,-73.918078,40.741085,16.1,0
5,CMT,2011/11/1 2:18,2011/11/1 2:29,1,4,-74.005907,40.740178,-74.004605,40.708254,11.3,1
6,CMT,2011/11/1 2:44,2011/11/1 2:46,3,0.6,-73.978127,40.725564,-73.984575,40.723412,3.7,0
7,VTS,2011/11/1 3:30,2011/11/1 3:48,3,5.49,-74.00632,40.733697,-73.95239,40.688852,15.7,0
8,VTS,2011/11/1 4:00,2011/11/1 4:07,1,1.9,-73.97376,40.759677,-73.952287,40.77293,6.9,2
9,CMT,2011/11/1 6:14,2011/11/1 6:26,1,3.2,-73.985237,40.732034,-73.957567,40.703572,10.5,0
10,VTS,2011/11/1 6:20,2011/11/1 6:28,1,1.67,-74.006287,40.734158,-74.014385,40.713947,7.3,1
11,VTS,2011/11/1 6:41,2011/11/1 6:48,1,1.11,-73.977238,40.749998,-73.993772,40.751465,5.7,1.5
12,CMT,2011/11/1 6:43,2011/11/1 6:50,1,1.2,-73.991048,40.770046,-73.991048,40.770046,6.1,0
13,VTS,2011/11/1 6:52,2011/11/1 7:00,1,2.24,-73.996155,40.732957,-73.989315,40.757932,7.3,1.25
14,VTS,2011/11/1 6:52,2011/11/1 7:03,5,3.34,-73.997128,40.736655,-73.982062,40.777612,10.5,2
15,CMT,2011/11/1 6:53,2011/11/1 7:07,1,4.1,-74.013525,40.707869,-73.977189,40.755835,11.7,1.25
16,CMT,2011/11/1 7:23,2011/11/1 7:49,1,5.4,-73.956408,40.787022,-73.98496,40.741296,18.1,3.72
17,CMT,2011/11/1 7:36,2011/11/1 7:52,1,4.5,-73.99144,40.749958,-74.014805,40.709448,13.7,2.84
18,CMT,2011/11/1 7:43,2011/11/1 7:54,1,1.9,-73.963202,40.766317,-73.968368,40.786343,8.1,0
19,CMT,2011/11/1 7:57,2011/11/1 8:10,2,4.7,-73.9757,40.7356,-73.993,40.6953,13.7,2.8
20,VTS,2011/11/1 7:59,2011/11/1 8:12,1,2.69,-73.992253,40.724915,-73.976662,40.756778,9.7,1
21,CMT,2011/11/1 8:57,2011/11/1 9:08,1,0.9,-73.99213,40.749266,-73.98793,40.741236,6.9,1.85
22,CMT,2011/11/1 9:00,2011/11/1 9:06,1,0.9,-73.990152,40.732854,-73.982676,40.745262,5.7,1.24
23,CMT,2011/11/1 9:03,2011/11/1 9:14,1,1.2,-73.984052,40.746436,-73.971758,40.760252,6.9,1
24,CMT,2011/11/1 9:08,2011/11/1 9:16,1,1.1,-73.964795,40.775515,-73.975255,40.76133,6.5,0
25,VTS,2011/11/1 9:47,2011/11/1 9:57,1,1.27,-74.005413,40.745928,-73.990675,40.752692,7.3,0
26,CMT,2011/11/1 10:05,2011/11/1 10:12,2,1.1,-74.013919,40.714305,-74.011515,40.702752,5.7,0
27,VTS,2011/11/1 10:26,2011/11/1 10:34,1,1.02,-73.966422,40.764673,-73.982412,40.768258,5.7,1.2
28,VTS,2011/11/1 10:42,2011/11/1 11:36,1,8.85,-73.874502,40.774067,-73.991803,40.755447,31.7,0
29,CMT,2011/11/1 10:49,2011/11/1 10:58,1,2.5,-73.963216,40.808811,-73.943222,40.840349,8.9,0
30,CMT,2011/11/1 11:06,2011/11/1 11:10,2,0.5,-73.983463,40.749621,-73.991443,40.750116,4.5,1
31,CMT,2011/11/1 11:27,2011/11/1 12:05,1,28,-73.7818,40.6447,-74.1659,40.6185,59.3,0
32,CMT,2011/11/1 11:37,2011/11/1 11:56,1,1.5,-73.973465,40.754374,-73.991305,40.750195,10.9,0
33,CMT,2011/11/1 11:59,2011/11/1 12:07,1,0.8,-73.983428,40.757909,-73.991534,40.750138,5.7,0
34,VTS,2011/11/1 12:15,2011/11/1 12:22,3,1.16,-74.001015,40.74188,-73.990832,40.756067,6.1,0
35,CMT,2011/11/1 13:15,2011/11/1 13:25,1,1.6,-73.987585,40.756913,-73.987563,40.738116,7.7,1.64
36,VTS,2011/11/1 13:17,2011/11/1 13:23,1,0.49,-73.97076,40.761708,-73.97295,40.756403,4.9,0
37,VTS,2011/11/1 13:18,2011/11/1 13:34,1,2.63,-73.986643,40.74063,-73.96044,40.76523,10.5,0
38,VTS,2011/11/1 13:58,2011/11/1 14:22,6,2.85,-74.00836,40.735115,-73.974892,40.750182,13.3,3
39,CMT,2011/11/1 14:09,2011/11/1 14:37,2,1.3,-73.991563,40.770145,-73.96792,40.762993,14.1,0
40,VTS,2011/11/1 14:14,2011/11/1 14:26,1,1.58,-74.00091,40.716723,-73.989695,40.736663,7.7,0
41,VTS,2011/11/1 14:17,2011/11/1 14:29,5,1.28,-73.965982,40.77401,-73.968012,40.765302,7.7,1.5
42,VTS,2011/11/1 14:31,2011/11/1 14:42,2,2.17,-73.986675,40.752583,-74.005673,40.722782,8.5,2
43,CMT,2011/11/1 15:00,2011/11/1 15:17,1,1.7,-73.98689,40.76115,-73.965313,40.768931,9.7,3.06
44,VTS,2011/11/1 15:01,2011/11/1 15:10,1,0.88,-73.945952,40.7733,-73.9563,40.767027,6.1,0
45,CMT,2011/11/1 15:03,2011/11/1 15:17,1,3.6,-73.8443,40.7214,-73.8144,40.6828,11.3,0
46,CMT,2011/11/1 15:49,2011/11/1 16:31,3,7.4,-73.95714,40.782641,-74.003558,40.723859,25.7,0
47,CMT,2011/11/1 16:17,2011/11/1 16:21,1,1.6,-74.0072,40.728873,-73.994978,40.750095,5.7,1.8
48,VTS,2011/11/1 16:27,2011/11/1 16:30,1,0.75,-73.969615,40.762388,-73.962632,40.772352,4.5,0
49,VTS,2011/11/1 16:47,2011/11/1 17:04,1,3.71,-73.98666,40.738907,-73.950118,40.772603,12.5,0
50,CMT,2011/11/1 16:50,2011/11/1 16:56,1,0.9,-74.00174,40.749157,-73.990989,40.75584,4.9,0
51,CMT,2011/11/1 17:29,2011/11/1 17:56,1,3.7,-73.994212,40.73453,-73.959815,40.777073,15.7,0
52,CMT,2011/11/1 17:37,2011/11/1 17:49,2,1.8,-73.995163,40.739736,-73.973686,40.7523,8.5,2
53,CMT,2011/11/1 17:46,2011/11/1 17:52,1,1.3,-73.980479,40.730289,-73.978354,40.745019,5.7,0
54,CMT,2011/11/1 17:57,2011/11/1 18:15,1,2.6,-73.95869,40.764208,-73.986749,40.749805,11.7,0
55,CMT,2011/11/1 18:07,2011/11/1 18:20,1,0.9,-73.977853,40.761182,-73.980792,40.770771,8.1,0
56,CMT,2011/11/1 18:13,2011/11/1 18:22,2,2.7,-73.997228,40.760471,-73.975393,40.789571,8.9,1
57,VTS,2011/11/1 18:23,2011/11/1 18:24,5,0.33,-73.97692,40.781203,-73.979682,40.776242,2.9,0
58,VTS,2011/11/1 18:28,2011/11/1 18:54,1,8.84,-73.871058,40.773472,-73.960023,40.770535,22.9,6
59,VTS,2011/11/1 18:43,2011/11/1 19:04,1,1.97,-73.98958,40.741653,-73.984725,40.76424,11.7,1
60,VTS,2011/11/1 18:54,2011/11/1 19:05,1,0.7,-73.97842,40.761587,-73.986767,40.757377,6.5,0
61,CMT,2011/11/1 18:56,2011/11/1 19:02,1,0.9,-73.988625,40.727425,-73.984964,40.736398,5.3,0
62,CMT,2011/11/1 19:00,2011/11/1 19:08,2,1.2,-73.987107,40.736025,-74.000877,40.731378,6.5,0
63,CMT,2011/11/1 19:13,2011/11/1 19:31,1,2.7,-73.953912,40.778869,-73.979169,40.7461,11.3,0
64,VTS,2011/11/1 19:32,2011/11/1 19:38,5,0.97,-74.005855,40.750502,-73.99312,40.743008,4.9,0
65,VTS,2011/11/1 19:45,2011/11/1 19:50,5,0.67,-73.981025,40.72967,-73.97482,40.732932,4.5,0
66,VTS,2011/11/1 19:50,2011/11/1 20:02,5,2.46,-73.978157,40.752538,-74.007558,40.743063,9.3,0
67,CMT,2011/11/1 19:51,2011/11/1 20:07,1,7.2,-73.951892,40.781224,-73.885384,40.773128,18.1,3
68,CMT,2011/11/1 19:51,2011/11/1 19:59,1,2.3,-73.986173,40.761427,-73.965208,40.790394,7.7,0
69,VTS,2011/11/1 19:56,2011/11/1 20:14,1,4.49,-73.989147,40.734157,-73.98032,40.782952,13.7,0
70,CMT,2011/11/1 20:02,2011/11/1 20:12,2,2.4,-73.988952,40.758892,-73.998054,40.736985,8.5,0
