raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,VTS,2013/12/1 0:02,2013/12/1 0:12,1,2.24,-73.944792,40.779652,-73.974775,40.782972,10,0
1,VTS,2013/12/1 0:49,2013/12/1 1:11,1,7.14,-73.99185,40.759557,-73.949355,40.72456,23.5,4.8
2,CMT,2013/12/1 0:51,2013/12/1 0:57,1,1.5,-73.998754,40.760884,-74.006276,40.744602,7,1
3,VTS,2013/12/1 0:55,2013/12/1 1:10,4,5.03,-73.987645,40.749795,-73.938472,40.804845,16,0
4,VTS,2013/12/1 2:01,2013/12/1 2:27,1,10.11,-73.98974,40.75247,-74.001087,40.65689,31,0
5,CMT,2013/12/1 2:11,2013/12/1 2:17,1,2.5,-73.995193,40.749574,-73.988553,40.778099,9,1.5
6,CMT,2013/12/1 3:04,2013/12/1 3:05,1,0.3,-73.999163,40.72145,-74.003464,40.722959,3,0
7,CMT,2013/12/1 3:41,2013/12/1 3:48,1,1.7,-73.989301,40.718976,-74.011309,40.708207,7.5,1.7
8,VTS,2013/12/1 4:00,2013/12/1 4:26,1,10.3,-74.005188,40.728892,-73.935525,40.821872,33,0
9,CMT,2013/12/1 4:40,2013/12/1 4:48,1,1.7,-73.991954,40.758022,-73.966716,40.755542,8.5,2
10,CMT,2013/12/1 6:35,2013/12/1 6:46,2,5.8,-73.977198,40.719237,-73.946102,40.789627,17.5,0
11,CMT,2013/12/1 7:41,2013/12/1 7:50,1,5.1,-74.007661,40.705008,-73.972441,40.754069,16,1.2
12,CMT,2013/12/1 7:57,2013/12/1 8:00,1,0.9,-73.98132,40.720806,-73.993401,40.727425,5,1
13,VTS,2013/12/1 8:07,2013/12/1 8:10,1,1.01,-73.985455,40.73168,-73.993947,40.7208,5,0
14,CMT,2013/12/1 8:34,2013/12/1 8:40,1,1.3,-73.992274,40.749433,-73.97506,40.748843,6.5,1.4
15,CMT,2013/12/1 8:40,2013/12/1 8:43,3,1.1,-73.983926,40.75504,-73.971511,40.763864,5.5,0
16,VTS,2013/12/1 8:54,2013/12/1 8:59,2,1.1,-73.990368,40.751282,-74.000525,40.758562,5.5,0
17,VTS,2013/12/1 9:21,2013/12/1 9:29,1,1.4,-73.987675,40.765272,-73.978712,40.753257,7.5,0
18,CMT,2013/12/1 9:26,2013/12/1 9:37,2,3.1,-73.959813,40.77051,-73.981033,40.761024,12,0
19,CMT,2013/12/1 9:40,2013/12/1 9:48,3,2,-73.952954,40.791705,-73.953486,40.770252,9,1
20,CMT,2013/12/1 9:53,2013/12/1 9:54,1,0.5,-73.969596,40.766167,-73.965053,40.772416,3.5,0
21,VTS,2013/12/1 10:17,2013/12/1 10:20,5,0.92,-74.000805,40.727287,-73.989672,40.727807,5,0
22,CMT,2013/12/1 10:43,2013/12/1 10:56,1,2.4,-73.98407,40.761534,-74.002256,40.730006,11.5,1
23,VTS,2013/12/1 10:50,2013/12/1 11:02,3,2.82,-74.005773,40.740495,-74.00578,40.74055,12,2.4
24,VTS,2013/12/1 11:03,2013/12/1 11:10,1,1.85,-73.97372,40.757175,-73.96178,40.779505,8.5,1.7
25,CMT,2013/12/1 11:11,2013/12/1 11:20,1,2.2,-73.994773,40.725009,-73.989859,40.750132,9.5,2
26,VTS,2013/12/1 11:46,2013/12/1 11:54,5,1.69,-73.990018,40.75665,-73.979585,40.776512,8.5,0
27,VTS,2013/12/1 12:33,2013/12/1 12:39,6,1.1,-73.96704,40.76883,-73.982392,40.775195,7,0
28,CMT,2013/12/1 12:50,2013/12/1 13:02,1,3.6,-74.009433,40.704807,-73.985698,40.726975,13.5,2.8
29,VTS,2013/12/1 13:04,2013/12/1 13:18,1,3.51,-73.968033,40.801517,-73.968697,40.764657,14.5,1
30,VTS,2013/12/1 13:16,2013/12/1 13:28,1,3.82,-73.944705,40.720192,-74.000545,40.727272,14,2.8
31,VTS,2013/12/1 13:22,2013/12/1 13:31,1,1.14,-73.977845,40.766282,-73.960167,40.758097,7.5,0
32,CMT,2013/12/1 13:28,2013/12/1 13:35,1,1.2,-73.97743,40.789629,-73.981782,40.77589,6.5,0
33,CMT,2013/12/1 14:18,2013/12/1 14:18,1,0,-73.990383,40.728837,-73.990383,40.728838,20,0
34,CMT,2013/12/1 14:27,2013/12/1 14:42,1,3.2,-73.973457,40.750493,-73.961654,40.779646,13.5,2.8
35,VTS,2013/12/1 14:52,2013/12/1 15:09,1,3.05,-74.005765,40.750607,-73.983502,40.721725,13.5,0
36,VTS,2013/12/1 14:57,2013/12/1 15:03,1,1.53,-73.95647,40.78075,-73.9693,40.762647,7.5,1.5
37,VTS,2013/12/1 15:01,2013/12/1 15:22,1,12.39,-73.874922,40.774015,-73.883468,40.86936,34,5
38,CMT,2013/12/1 15:50,2013/12/1 16:00,1,2,-74.014267,40.717277,-73.997272,40.731598,9.5,2
39,CMT,2013/12/1 15:54,2013/12/1 16:03,1,1.2,-73.990299,40.756316,-73.985929,40.744331,7.5,2
40,VTS,2013/12/1 16:09,2013/12/1 16:35,2,8.85,-73.87437,40.774037,-73.961305,40.770032,28,0
41,VTS,2013/12/1 16:28,2013/12/1 16:41,1,2.74,-73.976667,40.76588,-73.983947,40.723142,11.5,2.3
42,VTS,2013/12/1 16:31,2013/12/1 16:37,1,0.55,-73.989875,40.734552,-73.991025,40.739897,5.5,0
43,CMT,2013/12/1 16:46,2013/12/1 16:53,1,1.7,-73.989844,40.734623,-73.97419,40.755329,8,1
44,CMT,2013/12/1 16:51,2013/12/1 16:53,1,0.4,-74.002889,40.744402,-73.998111,40.741149,4,0
45,CMT,2013/12/1 16:51,2013/12/1 16:59,1,1.4,-73.999244,40.744086,-73.980744,40.746696,7.5,0
46,CMT,2013/12/1 17:06,2013/12/1 17:20,1,3.2,-73.986144,40.757345,-73.991823,40.72673,12,2.5
47,CMT,2013/12/1 17:35,2013/12/1 17:48,2,1.4,-73.993692,40.752214,-73.990456,40.76674,9.5,0
48,CMT,2013/12/1 17:37,2013/12/1 17:50,1,1.6,-73.96649,40.773404,-73.979111,40.755464,9.5,0
49,CMT,2013/12/1 17:52,2013/12/1 18:10,1,3.6,-73.979561,40.784624,-73.979399,40.745996,16,0
50,CMT,2013/12/1 18:18,2013/12/1 18:39,1,3.1,-73.984395,40.769715,-73.990802,40.734462,16.5,1
51,VTS,2013/12/1 18:23,2013/12/1 19:02,1,9.11,-73.86272,40.768992,-73.968305,40.75229,33.5,0
52,VTS,2013/12/1 18:31,2013/12/1 18:50,2,3.83,-73.94686,40.779937,-73.987682,40.748897,16,3.2
53,CMT,2013/12/1 18:32,2013/12/1 18:56,1,3.4,-73.9947,40.750381,-74.014601,40.71804,18,4.62
54,VTS,2013/12/1 18:35,2013/12/1 18:51,1,3.69,-73.99233,40.748352,-73.952853,40.780327,14,1.5
55,VTS,2013/12/1 19:48,2013/12/1 19:53,1,0.98,-73.977457,40.758235,-73.967467,40.76304,6,0
56,VTS,2013/12/1 20:03,2013/12/1 20:12,5,1.94,-73.94762,40.778622,-73.968392,40.790742,9,1.9
57,VTS,2013/12/1 20:05,2013/12/1 20:16,1,2.33,-73.989655,40.719122,-74.005598,40.740157,10,1
58,CMT,2013/12/1 20:32,2013/12/1 20:39,2,1.3,-73.990374,40.734393,-73.99046,40.746213,6.5,0
59,CMT,2013/12/1 20:47,2013/12/1 21:10,1,8.2,-73.863227,40.770329,-73.98424,40.769616,26,0
60,CMT,2013/12/1 20:48,2013/12/1 20:58,1,2.6,-73.977906,40.756507,-73.954144,40.781765,11,3
61,CMT,2013/12/1 20:53,2013/12/1 21:03,4,3.9,-73.955923,40.714066,-73.982861,40.702062,13.5,0
62,VTS,2013/12/1 21:21,2013/12/1 21:32,1,1.32,-73.995852,40.74385,-73.990125,40.757435,9,2.38
63,VTS,2013/12/1 21:26,2013/12/1 21:34,1,2.46,-73.981285,40.730815,-73.960587,40.761827,9.5,0.5
