raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,VTS,2014/6/1 0:09,2014/6/1 0:21,2,3.58,-74.00774,40.704667,-74.00757,40.740857,13.5,0
1,CMT,2014/6/1 0:23,2014/6/1 0:32,1,2.1,-73.951404,40.743323,-73.945471,40.716558,9,0
2,VTS,2014/6/1 0:29,2014/6/1 0:39,2,2.05,-74.001883,40.74585,-74.00995,40.72276,10,0
3,VTS,2014/6/1 0:49,2014/6/1 1:05,1,8.43,-73.9862,40.72214,-73.94184,40.81301,25,0
4,CMT,2014/6/1 0:58,2014/6/1 1:01,2,0.8,-73.982272,40.775414,-73.991135,40.770348,5,1.8
5,VTS,2014/6/1 1:01,2014/6/1 1:08,6,2.09,-73.97057,40.757535,-73.954757,40.780877,8,1.7
6,CMT,2014/6/1 1:40,2014/6/1 1:44,1,1.1,-73.988849,40.734856,-74.003062,40.733241,5.5,1.3
7,CMT,2014/6/1 1:55,2014/6/1 2:09,1,3.7,-73.994338,40.750623,-74.013711,40.709355,14.5,3.1
8,VTS,2014/6/1 2:02,2014/6/1 2:12,1,3.34,-74.006597,40.731792,-73.985455,40.768755,12,2.5
9,CMT,2014/6/1 2:02,2014/6/1 2:13,3,1.5,-73.992473,40.756734,-74.004135,40.742182,9,0
10,VTS,2014/6/1 2:09,2014/6/1 2:23,6,3.33,-73.992325,40.725185,-73.966533,40.691402,13.5,0
11,CMT,2014/6/1 2:16,2014/6/1 2:28,1,2.8,-73.997262,40.721942,-73.994768,40.74043,12,2.6
12,CMT,2014/6/1 2:23,2014/6/1 2:44,3,3.3,-73.986629,40.70279,-73.971306,40.671328,15.5,0
13,VTS,2014/6/1 2:28,2014/6/1 2:47,1,4.57,-74.002712,40.749732,-73.947273,40.771347,16.5,0
14,CMT,2014/6/1 2:35,2014/6/1 2:49,1,4.9,-73.98694,40.755923,-74.000758,40.710518,16.5,0
15,VTS,2014/6/1 2:43,2014/6/1 2:51,1,1.1,-73.98767,40.732527,-74.005247,40.73996,7.5,0
16,VTS,2014/6/1 3:51,2014/6/1 4:32,4,12.79,-73.99038,40.760787,-73.892967,40.884982,41,0
17,CMT,2014/6/1 4:29,2014/6/1 4:50,3,5.4,-73.990015,40.746764,-73.943927,40.80983,20,0
18,CMT,2014/6/1 5:06,2014/6/1 5:24,1,7.1,-73.999805,40.743291,-73.918811,40.781921,21.5,0
19,CMT,2014/6/1 5:23,2014/6/1 5:50,1,8.9,-73.98717,40.75594,-73.944088,40.653714,28,0
20,VTS,2014/6/1 5:30,2014/6/1 5:56,2,18.56,-73.77697,40.64496,-73.96381,40.68689,50.5,15.3
21,CMT,2014/6/1 7:42,2014/6/1 8:05,1,16.9,-73.790559,40.644715,-73.983636,40.755477,52,11.56
22,VTS,2014/6/1 8:45,2014/6/1 8:46,1,0.8,-73.961873,40.768335,-73.955095,40.777322,4.5,0.9
23,CMT,2014/6/1 10:16,2014/6/1 10:24,1,2.2,-73.98197,40.778897,-73.963071,40.802807,9,1
24,CMT,2014/6/1 10:21,2014/6/1 10:31,2,1.6,-73.983812,40.749761,-74.002586,40.760692,9,0
25,CMT,2014/6/1 10:56,2014/6/1 11:03,1,1.6,-73.958476,40.800494,-73.975513,40.785314,7.5,0
26,VTS,2014/6/1 11:06,2014/6/1 11:13,1,1.25,-73.952222,40.78678,-73.947305,40.801107,7,1.19
27,CMT,2014/6/1 11:24,2014/6/1 11:45,1,2.4,-73.98165,40.778356,-73.990828,40.755391,14.5,0
28,CMT,2014/6/1 11:59,2014/6/1 12:01,2,0.2,-73.994657,40.744552,-73.996656,40.74209,3,1.05
29,VTS,2014/6/1 12:46,2014/6/1 13:05,6,1,-73.974827,40.74211,-73.987177,40.749735,12.5,2
30,CMT,2014/6/1 12:47,2014/6/1 13:35,1,9.1,-73.87025,40.773589,-73.986544,40.758429,38,8.76
31,CMT,2014/6/1 12:53,2014/6/1 13:11,2,1.9,-73.975329,40.788569,-73.979117,40.766754,12.5,2.6
32,VTS,2014/6/1 12:58,2014/6/1 13:10,2,1.29,-73.988072,40.75547,-73.981995,40.743407,9,1.8
33,CMT,2014/6/1 13:09,2014/6/1 13:16,3,0.8,-73.991043,40.751277,-73.988514,40.758321,6,0
34,VTS,2014/6/1 13:39,2014/6/1 13:48,5,0.87,-73.98153,40.78065,-73.9796,40.77127,7.5,1.5
35,CMT,2014/6/1 13:40,2014/6/1 13:46,1,1,-73.951654,40.782026,-73.956103,40.774622,6.5,0
36,VTS,2014/6/1 13:42,2014/6/1 13:46,1,0.68,-73.976917,40.785027,-73.976917,40.785027,5,1
37,VTS,2014/6/1 13:44,2014/6/1 13:52,6,1.44,-73.971215,40.756395,-73.990085,40.756812,7,0
38,CMT,2014/6/1 14:09,2014/6/1 14:41,1,3.2,-74.000243,40.742924,-73.969783,40.765894,20.5,0
39,CMT,2014/6/1 14:29,2014/6/1 14:39,1,1.7,-73.989342,40.70166,-73.994918,40.680824,8.5,0
40,CMT,2014/6/1 14:49,2014/6/1 15:12,1,9.6,-73.982654,40.76185,-73.870959,40.774085,29,6.96
41,VTS,2014/6/1 14:51,2014/6/1 15:12,1,4.39,-74.012818,40.717037,-73.986377,40.767302,17.5,2
42,CMT,2014/6/1 14:54,2014/6/1 15:00,1,1.1,-73.992386,40.745266,-73.993866,40.756432,6.5,0
43,VTS,2014/6/1 15:08,2014/6/1 15:17,5,0.81,-73.988817,40.736697,-73.981465,40.746855,7,0
44,VTS,2014/6/1 15:57,2014/6/1 16:04,6,0.97,-73.975905,40.77639,-73.977597,40.786252,6.5,1.62
45,CMT,2014/6/1 16:31,2014/6/1 16:45,1,2.4,-73.961909,40.763636,-73.988425,40.745882,12,0
46,CMT,2014/6/1 16:48,2014/6/1 17:02,1,3.6,-73.988803,40.747882,-73.948297,40.77221,13.5,0
