raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,1,2015/1/1 0:06,2015/1/1 0:09,2,0.4,-73.95478058,40.77767181,-73.94817352,40.77855301,4,1.5
1,2,2015/1/1 0:21,2015/1/1 0:31,1,1.83,-74.00415802,40.73812866,-73.99649811,40.71906662,8.5,0
2,2,2015/1/1 0:46,2015/1/1 1:04,1,1.73,-74.00373077,40.7482872,-73.98766327,40.7654686,12.5,2.6
3,2,2015/1/1 0:46,2015/1/1 1:05,3,3.33,-73.99302673,40.68847656,-73.93730927,40.69148254,15,0
4,1,2015/1/1 1:05,2015/1/1 1:17,2,2.8,-73.979599,40.743927,-74.00807953,40.71215439,11,1
5,2,2015/1/1 1:21,2015/1/1 1:43,1,3.85,-73.98023224,40.72463989,-73.98782349,40.76383972,17,3.5
6,1,2015/1/1 1:47,2015/1/1 2:29,1,6,-73.97291565,40.78533173,-74.00418854,40.71699905,28.2,7.37
7,1,2015/1/1 1:49,2015/1/1 1:57,1,1.2,-73.96900177,40.76127243,-73.97514343,40.7457695,7.5,0
8,2,2015/1/1 1:49,2015/1/1 1:59,4,0.74,-73.98882294,40.77391815,-73.9901123,40.7655983,7.5,1
9,2,2015/1/1 1:50,2015/1/1 2:05,1,2.47,-73.97885132,40.75633621,-74.00688171,40.73942184,12.5,2.6
10,2,2015/1/1 1:52,2015/1/1 2:11,1,3.2,-73.9784317,40.72025681,-73.98357391,40.7521286,14.5,0
11,2,2015/1/1 1:56,2015/1/1 2:26,2,5.65,-73.98561859,40.71800613,-73.95195007,40.77769852,22.5,0
12,2,2015/1/1 2:16,2015/1/1 2:20,1,0.65,-73.98699951,40.71908569,-73.98634338,40.72613525,4.5,1.5
13,1,2015/1/1 2:23,2015/1/1 2:43,2,4.3,-73.9661026,40.75842285,-73.96775055,40.79446793,17,0
14,1,2015/1/1 2:31,2015/1/1 2:37,2,0.9,-73.9857254,40.73529434,-73.97653198,40.74785233,6,0
15,2,2015/1/1 2:32,2015/1/1 2:33,2,0.03,-73.98719025,40.73899078,-73.98693085,40.73926926,3,0
16,1,2015/1/1 2:44,2015/1/1 3:13,2,10.4,-74.00855255,40.71162415,-73.94169617,40.7560997,32,0
17,2,2015/1/1 3:10,2015/1/1 3:20,1,1.68,-73.86614227,40.75751495,-73.87971497,40.74562454,9,0
18,1,2015/1/1 3:18,2015/1/1 3:30,1,2.6,-73.993927,40.72084045,-73.95368958,40.70782471,11.5,1
19,2,2015/1/1 3:59,2015/1/1 4:06,1,1.26,-73.98784637,40.7185936,-73.97610474,40.72529984,7,0
20,1,2015/1/1 4:24,2015/1/1 4:37,2,3,-73.94494629,40.70534134,-73.89932251,40.71024704,12,0
21,2,2015/1/1 4:27,2015/1/1 4:44,5,7.47,-74.0094223,40.71516418,-73.94879913,40.77777863,23,0
22,2,2015/1/1 5:46,2015/1/1 5:54,1,1.44,-73.99990845,40.72870636,-74.0007019,40.74217224,7.5,0
23,2,2015/1/1 7:05,2015/1/1 7:07,1,0.41,-73.99562836,40.76457596,-73.99668884,40.76012039,4,0
24,2,2015/1/1 8:21,2015/1/1 8:31,1,1.96,-73.99642944,40.76678085,-73.9750824,40.75186157,9.5,0
25,1,2015/1/1 8:22,2015/1/1 8:28,1,1.6,-73.97333527,40.74873352,-73.96652985,40.76509094,7,1.55
26,1,2015/1/1 8:50,2015/1/1 8:59,1,4.3,-73.77706146,40.6449852,-73.7846756,40.67407227,14.5,0
27,2,2015/1/1 9:04,2015/1/1 9:15,1,3.41,-73.98542023,40.72210693,-73.99150848,40.75592041,12.5,0
28,2,2015/1/1 9:41,2015/1/1 9:45,1,1.84,-73.97145081,40.76467133,-73.98897552,40.74461746,7,0
29,2,2015/1/1 9:54,2015/1/1 10:04,5,3.77,-73.95516968,40.76901627,-73.98265076,40.72735596,13,0
30,2,2015/1/1 10:02,2015/1/1 10:05,1,0.89,-74.00026703,40.73477173,-73.99537659,40.72714996,5,1
31,1,2015/1/1 10:40,2015/1/1 10:44,2,1.4,-73.98153687,40.74682617,-73.96899414,40.7623558,6,0
32,1,2015/1/1 10:48,2015/1/1 10:51,1,0.6,-73.95903015,40.81505203,-73.9596405,40.80786514,4.5,0
33,1,2015/1/1 10:51,2015/1/1 11:00,2,1.7,-73.95436859,40.76612091,-73.98179626,40.77381134,9,0
34,1,2015/1/1 11:20,2015/1/1 11:37,1,9.5,-73.99073029,40.7348938,-73.87030029,40.77344131,28,0
35,1,2015/1/1 11:52,2015/1/1 11:56,2,1.2,-73.95928955,40.76343918,-73.96118164,40.77593231,6,1.35
36,2,2015/1/1 11:58,2015/1/1 12:25,2,11.09,-73.86578369,40.77082062,-73.97931671,40.7638588,34,0
37,1,2015/1/1 12:13,2015/1/1 12:17,1,1.4,-73.98845673,40.76924133,-73.97550964,40.78799057,6,0
38,2,2015/1/1 12:23,2015/1/1 12:27,1,0.56,-73.9710083,40.75791168,-73.96381378,40.75604248,4.5,1
