raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,VTS,2009/10/1 0:16,2009/10/1 0:20,2,0.79,-73.971578,40.76595,-73.97154,40.75449,4.5,0
1,VTS,2009/10/1 0:40,2009/10/1 0:51,1,2.3,-73.981603,40.758483,-73.971395,40.78615,9.3,0
2,DDS,2009/10/1 0:55,2009/10/1 1:19,1,3.9,-73.994994,40.745015,-73.999708,40.725158,14.1,2.9
3,CMT,2009/10/1 1:15,2009/10/1 1:16,1,0.5,-73.954557,40.778155,-73.949358,40.781255,3.3,0.57
4,VTS,2009/10/1 1:18,2009/10/1 1:27,5,2.56,-73.982645,40.76676,-74.005587,40.745547,8.5,0
5,CMT,2009/10/1 2:24,2009/10/1 2:32,1,1.7,-73.879046,40.756318,-73.855788,40.75185,7.3,0
6,VTS,2009/10/1 2:54,2009/10/1 2:59,1,1.23,-73.986725,40.729842,-73.99381,40.740543,5.7,0
7,VTS,2009/10/1 3:39,2009/10/1 3:54,1,6.27,-73.969963,40.636395,-73.955925,40.744583,16.9,0
8,CMT,2009/10/1 4:56,2009/10/1 5:16,1,9.7,-73.963186,40.757192,-73.861689,40.768085,24.1,0
9,VTS,2009/10/1 6:14,2009/10/1 6:18,1,0.97,-73.961868,40.773925,-73.970585,40.761873,4.9,0
10,CMT,2009/10/1 6:24,2009/10/1 6:26,1,0.4,-73.98718,40.733292,-73.983113,40.730473,3.3,0
11,CMT,2009/10/1 6:39,2009/10/1 6:53,1,4.7,-73.950148,40.771218,-74.003429,40.741146,13.3,0
12,VTS,2009/10/1 6:44,2009/10/1 7:00,2,2.49,-73.974167,40.744262,-74.005155,40.745708,10.1,0
13,VTS,2009/10/1 6:47,2009/10/1 6:59,1,2.31,-73.964783,40.757185,-73.992053,40.749212,8.5,0
14,CMT,2009/10/1 7:56,2009/10/1 7:59,1,0.6,-73.966019,40.76475,-73.966543,40.757247,3.7,0
15,VTS,2009/10/1 8:00,2009/10/1 8:10,1,2.09,-73.960462,40.78138,-73.979387,40.754827,8.1,0
16,VTS,2009/10/1 8:02,2009/10/1 8:15,5,2.62,-73.991125,40.770098,-73.985145,40.743788,9.3,0
17,VTS,2009/10/1 8:06,2009/10/1 8:11,5,1.04,-74.000662,40.74733,-73.987523,40.750197,4.9,0
18,VTS,2009/10/1 8:15,2009/10/1 8:22,1,0.62,-73.948382,40.774167,-73.958557,40.778175,4.9,0
19,CMT,2009/10/1 8:42,2009/10/1 8:59,3,3.7,-73.97495,40.753754,-73.962606,40.796658,12.5,0
20,VTS,2009/10/1 8:52,2009/10/1 9:44,2,9.12,-73.841325,40.720507,-73.976495,40.751293,29.7,4
21,CMT,2009/10/1 8:58,2009/10/1 9:12,1,2,-73.986192,40.731382,-74.007503,40.717734,9.3,2
22,CMT,2009/10/1 9:02,2009/10/1 9:16,1,4.4,-73.9772,40.752898,-73.999898,40.708197,13.3,0
23,DDS,2009/10/1 9:15,2009/10/1 9:40,1,7.3,-73.999258,40.754415,-73.995966,40.691327,20.9,0
24,CMT,2009/10/1 9:17,2009/10/1 9:20,1,1.2,-73.949891,40.695677,-73.949891,40.695677,4.9,0
25,VTS,2009/10/1 9:41,2009/10/1 9:50,2,2.08,-74.009387,40.717165,-73.995923,40.740392,7.7,0
26,VTS,2009/10/1 9:49,2009/10/1 10:01,2,1.62,-73.999233,40.739133,-73.998215,40.721008,8.1,1
27,CMT,2009/10/1 10:01,2009/10/1 10:43,1,16.4,-73.989961,40.734507,-73.968118,40.579498,40.5,0
28,VTS,2009/10/1 11:05,2009/10/1 11:14,5,2.02,-73.9793,40.771675,-73.956433,40.779748,8.1,0
29,CMT,2009/10/1 11:53,2009/10/1 12:08,1,1.6,-73.994828,40.755382,-74.002435,40.735701,9.3,0
30,CMT,2009/10/1 12:08,2009/10/1 12:17,2,2.1,-74.006539,40.70803,-73.99086,40.695004,7.7,0
31,CMT,2009/10/1 12:27,2009/10/1 12:37,1,1,-74.00881,40.731611,-73.999336,40.723297,6.9,0
32,VTS,2009/10/1 12:33,2009/10/1 12:46,1,1.29,-73.977985,40.751545,-73.9916,40.747232,8.1,0
33,VTS,2009/10/1 12:34,2009/10/1 12:42,1,1.03,-73.984327,40.742967,-73.995017,40.734078,5.7,0
34,VTS,2009/10/1 12:51,2009/10/1 12:58,1,1.1,-73.991155,40.745512,-74.002263,40.734477,5.3,0
35,CMT,2009/10/1 13:06,2009/10/1 13:12,2,1,-73.993313,40.752304,-73.983664,40.765519,5.3,0
36,VTS,2009/10/1 13:13,2009/10/1 13:41,1,2.87,-73.982478,40.755968,-73.996078,40.721755,14.5,0
37,VTS,2009/10/1 13:16,2009/10/1 13:35,1,8.51,-73.863822,40.76969,-73.978913,40.746943,20.5,4.1
38,CMT,2009/10/1 13:29,2009/10/1 13:30,1,0.4,-73.978806,40.744992,-73.974192,40.749905,3.3,0
39,CMT,2009/10/1 13:36,2009/10/1 13:47,1,0.8,-73.993938,40.758511,-73.986379,40.752605,7.3,1.46
40,DDS,2009/10/1 13:49,2009/10/1 13:53,2,0.5,-73.963607,40.774182,-73.968297,40.770685,4.1,0
41,VTS,2009/10/1 13:52,2009/10/1 14:11,5,2.99,-73.984328,40.742685,-73.957497,40.774845,12.1,0
