raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,CMT,2010/6/1 0:05,2010/6/1 0:10,1,2.6,-74.001618,40.730599,-73.977601,40.763962,7.7,0
1,VTS,2010/6/1 0:11,2010/6/1 0:30,2,4.99,-73.875373,40.770062,-73.875005,40.770637,15.3,3.16
2,VTS,2010/6/1 0:41,2010/6/1 1:06,1,18.07,-73.77685,40.645338,-73.955222,40.772535,45,9
3,CMT,2010/6/1 5:35,2010/6/1 5:47,1,4.3,-73.984636,40.696273,-73.98172,40.751413,12.5,0
4,CMT,2010/6/1 5:41,2010/6/1 5:47,1,2,-73.992121,40.750332,-73.970705,40.762398,6.9,0
5,VTS,2010/6/1 6:12,2010/6/1 6:24,1,4.71,-74.010127,40.706863,-73.981718,40.763883,12.1,0
6,VTS,2010/6/1 6:37,2010/6/1 6:45,1,2.19,-73.966053,40.765138,-73.991502,40.74993,7.7,0
7,VTS,2010/6/1 6:37,2010/6/1 6:48,1,2.15,-73.952585,40.784,-73.959308,40.759433,8.9,0
8,CMT,2010/6/1 6:45,2010/6/1 6:51,1,1.5,-73.978712,40.740333,-73.984068,40.754926,6.1,1.25
9,VTS,2010/6/1 6:46,2010/6/1 6:53,1,0,-73.964887,40.807008,-73.964887,40.807008,4.9,0
10,VTS,2010/6/1 6:48,2010/6/1 6:54,2,1.68,-73.959998,40.770338,-73.97721,40.754007,6.1,1
11,VTS,2010/6/1 7:08,2010/6/1 7:11,1,0.72,-73.99219,40.725482,-73.989948,40.73553,4.1,0.5
12,CMT,2010/6/1 7:29,2010/6/1 7:39,1,2.7,-73.945836,40.773608,-73.978452,40.759823,8.9,0
13,VTS,2010/6/1 7:51,2010/6/1 8:01,3,1.14,-74.01465,40.717148,-74.003597,40.726872,6.9,0
14,CMT,2010/6/1 7:51,2010/6/1 7:56,1,1.8,-73.950089,40.771208,-73.968448,40.757353,6.5,0
15,CMT,2010/6/1 7:51,2010/6/1 8:04,1,1.4,-73.989462,40.766984,-73.9743,40.753963,8.1,1.72
16,VTS,2010/6/1 7:52,2010/6/1 8:12,1,2.45,-73.980178,40.770298,-73.94694,40.772402,11.7,0
17,VTS,2010/6/1 7:55,2010/6/1 8:24,1,10.11,-73.996673,40.760102,-73.870863,40.774108,26.1,0
18,VTS,2010/6/1 8:38,2010/6/1 8:45,1,1.27,-73.987412,40.775853,-73.984855,40.760927,5.7,0.8
19,CMT,2010/6/1 8:52,2010/6/1 8:53,1,0.2,-73.95666,40.780692,-73.954344,40.783829,2.9,0
20,CMT,2010/6/1 9:14,2010/6/1 9:36,1,3.3,-73.949243,40.77291,-73.98291,40.750683,13.7,0
21,VTS,2010/6/1 9:21,2010/6/1 9:24,1,0.1,-73.98126,40.78186,-73.981895,40.767592,4.9,0
22,CMT,2010/6/1 9:31,2010/6/1 9:45,1,1.6,-73.961175,40.768872,-73.982018,40.760605,8.9,0
23,CMT,2010/6/1 9:37,2010/6/1 10:01,2,4.1,-73.971658,40.787291,-74.000896,40.736939,14.5,1
24,CMT,2010/6/1 9:41,2010/6/1 9:51,1,2.7,-73.980772,40.759446,-73.952861,40.789036,8.9,0
25,CMT,2010/6/1 9:42,2010/6/1 9:55,1,2.2,-74.00137,40.730998,-73.978644,40.755998,8.9,0
26,CMT,2010/6/1 10:14,2010/6/1 10:26,1,1.9,-73.953781,40.81139,-73.945953,40.834587,8.9,0
27,VTS,2010/6/1 10:15,2010/6/1 10:35,1,1.77,-73.984273,40.764662,-73.99275,40.743813,11.3,2
28,VTS,2010/6/1 10:21,2010/6/1 10:35,1,1.26,-73.964047,40.757163,-73.981177,40.753615,8.5,0
29,CMT,2010/6/1 10:51,2010/6/1 10:57,1,1.2,-73.984441,40.73291,-73.998394,40.724892,5.7,0
30,CMT,2010/6/1 10:57,2010/6/1 11:15,2,2.4,-73.995643,40.749533,-73.972733,40.780413,11.3,0
31,CMT,2010/6/1 11:57,2010/6/1 12:01,1,2,-73.979199,40.713661,-74.010391,40.70201,6.9,0
32,VTS,2010/6/1 12:08,2010/6/1 12:22,5,2.36,-73.978772,40.787355,-73.983578,40.761232,9.7,4
33,VTS,2010/6/1 12:35,2010/6/1 12:42,1,1.74,-74.008275,40.737068,-74.009565,40.715102,6.5,0
34,VTS,2010/6/1 13:16,2010/6/1 13:26,1,0.68,-73.995458,40.739322,-73.991077,40.738345,6.5,0
35,CMT,2010/6/1 13:16,2010/6/1 13:29,1,1.6,-73.970524,40.764898,-73.977181,40.779708,8.5,1.8
36,CMT,2010/6/1 13:39,2010/6/1 13:48,1,2,-73.982445,40.768316,-73.972735,40.792636,7.3,0
37,VTS,2010/6/1 13:45,2010/6/1 13:59,1,2.48,-73.964308,40.755845,-73.990093,40.732605,9.3,1
