raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,CMT,2009/2/1 0:10,2009/2/1 0:14,1,0.8,-73.994311,40.744497,-74.002617,40.733828,5.4,0
1,VTS,2009/2/1 0:14,2009/2/1 0:21,1,2.81,-73.98564,40.755287,-73.964323,40.791915,9.7,2
2,VTS,2009/2/1 0:20,2009/2/1 0:33,1,3.04,-73.98483,40.732615,-73.957905,40.765167,10.1,0
3,VTS,2009/2/1 0:21,2009/2/1 0:21,1,1.57,-73.993693,40.740907,-73.990905,40.758885,5.7,1.2
4,VTS,2009/2/1 0:39,2009/2/1 0:50,1,2.57,-73.981,40.721257,-73.956132,40.71388,10.5,2
5,VTS,2009/2/1 0:54,2009/2/1 1:09,1,4.2,-73.964832,40.801713,-73.968103,40.756627,12.5,0
6,DDS,2009/2/1 0:55,2009/2/1 1:02,1,0.9,-73.990422,40.739975,-74.006246,40.743795,4.9,0
7,CMT,2009/2/1 0:59,2009/2/1 1:10,1,1.8,-74.00264,40.750003,-73.974339,40.744108,9,2
8,CMT,2009/2/1 1:00,2009/2/1 1:15,1,1.4,-73.999182,40.734221,-73.989131,40.721942,9.4,0
9,VTS,2009/2/1 1:10,2009/2/1 1:20,1,1.37,-74.004057,40.742833,-73.985233,40.731985,7.3,0
10,VTS,2009/2/1 1:20,2009/2/1 1:25,2,0.89,-73.9842,40.729707,-73.974058,40.736867,4.9,2
11,VTS,2009/2/1 1:22,2009/2/1 1:35,2,4.12,-74.003862,40.742983,-73.973308,40.785288,13.3,3
12,VTS,2009/2/1 1:32,2009/2/1 1:44,1,2.36,-74.005223,40.740705,-73.977967,40.748873,8.9,0
13,VTS,2009/2/1 1:33,2009/2/1 1:48,1,3.16,-73.993923,40.751455,-73.98485,40.720408,12.1,2
14,CMT,2009/2/1 2:06,2009/2/1 2:15,1,1.7,-73.968008,40.757676,-73.984122,40.742541,7.8,0
15,VTS,2009/2/1 2:07,2009/2/1 2:17,5,2.72,-73.995363,40.744433,-74.008562,40.70955,8.9,0
16,CMT,2009/2/1 2:20,2009/2/1 2:34,2,4.5,-74.001122,40.718032,-73.987399,40.766069,13.8,2.76
17,CMT,2009/2/1 2:48,2009/2/1 2:54,2,1.3,-73.968967,40.790876,-73.952183,40.790155,6.6,0
18,CMT,2009/2/1 3:00,2009/2/1 3:10,2,2.9,-74.008441,40.725884,-73.990544,40.76118,9.8,1.47
19,VTS,2009/2/1 3:22,2009/2/1 3:29,1,1.32,-74.008353,40.72588,-73.992763,40.721427,6.1,0
20,CMT,2009/2/1 3:22,2009/2/1 3:36,1,3.2,-74.008074,40.714912,-73.979136,40.74998,11.4,0
21,CMT,2009/2/1 5:22,2009/2/1 5:26,1,1.1,-74.000193,40.747828,-74.005755,40.733144,5.8,0
22,CMT,2009/2/1 7:03,2009/2/1 7:09,1,1.3,-74.000058,40.718127,-73.984912,40.728142,5.7,0
23,CMT,2009/2/1 8:27,2009/2/1 8:36,1,2.6,-73.99645,40.685968,-74.002685,40.714268,8.5,0
24,VTS,2009/2/1 9:09,2009/2/1 9:17,2,3.83,-73.97407,40.731092,-74.016168,40.70495,10.9,0
25,VTS,2009/2/1 9:52,2009/2/1 9:55,1,0.59,-73.986603,40.751593,-73.990677,40.751275,4.1,0
26,VTS,2009/2/1 10:16,2009/2/1 10:19,5,0.75,-73.975788,40.776358,-73.981847,40.78299,4.1,0
27,VTS,2009/2/1 10:52,2009/2/1 11:03,2,2.2,-73.98584,40.749802,-73.998515,40.72285,8.1,0
28,CMT,2009/2/1 11:01,2009/2/1 11:03,1,0.5,-73.967376,40.766048,-73.964942,40.772414,3.7,0
29,CMT,2009/2/1 11:11,2009/2/1 11:23,2,5.7,-73.958169,40.772993,-73.99207,40.726556,14.9,0
30,VTS,2009/2/1 11:29,2009/2/1 11:28,1,2.57,-73.950957,40.774693,-73.974785,40.757917,8.9,1
31,CMT,2009/2/1 11:29,2009/2/1 11:39,2,3,-73.977646,40.752208,-73.974502,40.785828,9.7,1.45
32,CMT,2009/2/1 11:32,2009/2/1 11:36,1,1.2,-73.978281,40.783252,-73.97108,40.797872,4.9,0
33,CMT,2009/2/1 11:57,2009/2/1 12:07,1,2.6,-73.969685,40.785106,-73.994855,40.755277,9.3,0
34,VTS,2009/2/1 12:14,2009/2/1 12:17,2,0.59,-73.988438,40.750103,-73.984015,40.757952,3.7,0
35,VTS,2009/2/1 12:47,2009/2/1 12:53,1,1.73,-73.962282,40.760748,-73.944855,40.779162,6.5,0
36,CMT,2009/2/1 13:15,2009/2/1 13:18,1,0.9,-73.987996,40.732021,-73.984918,40.742312,4.5,0
37,DDS,2009/2/1 13:36,2009/2/1 14:03,1,5.6,-73.958372,40.7756,-74.009231,40.726037,17.3,0
38,CMT,2009/2/1 13:39,2009/2/1 13:50,1,1.5,-73.987236,40.738377,-74.00119,40.720137,7.7,0
39,VTS,2009/2/1 13:45,2009/2/1 13:57,1,1.93,-73.977558,40.725755,-73.98132,40.74623,8.5,0
40,CMT,2009/2/1 13:57,2009/2/1 14:07,1,1.9,-73.964276,40.756434,-73.953159,40.776793,7.7,0
41,VTS,2009/2/1 13:58,2009/2/1 14:04,1,1.63,-73.968733,40.750303,-73.95391,40.770347,6.1,0
42,VTS,2009/2/1 14:07,2009/2/1 14:11,1,0.82,-73.994275,40.740152,-73.996457,40.743405,4.5,0
43,CMT,2009/2/1 14:48,2009/2/1 15:19,1,19.8,-73.787075,40.641174,-73.948423,40.773881,45,0
44,CMT,2009/2/1 14:49,2009/2/1 14:55,1,1.3,-73.976765,40.788179,-73.982247,40.769506,5.7,0.85
45,VTS,2009/2/1 15:03,2009/2/1 15:07,1,0.93,-73.966893,40.766802,-73.957008,40.775085,4.9,0
46,CMT,2009/2/1 15:11,2009/2/1 15:28,1,4.1,-73.990986,40.750733,-73.948687,40.784895,12.9,0
47,VTS,2009/2/1 15:29,2009/2/1 15:52,1,7.76,-73.961068,40.811658,-73.873003,40.77425,20.9,0
48,CMT,2009/2/1 15:41,2009/2/1 15:52,1,2.4,-73.955072,40.780906,-73.977064,40.752773,8.9,1.78
49,VTS,2009/2/1 15:59,2009/2/1 16:03,5,1.71,-73.945502,40.786477,-73.961578,40.764343,7.7,0
50,VTS,2009/2/1 16:33,2009/2/1 16:49,1,2.75,-73.953115,40.776058,-73.980598,40.747962,10.9,0
51,VTS,2009/2/1 16:36,2009/2/1 16:47,1,1.3,-74.007185,40.733543,-73.984723,40.72888,7.3,0
52,CMT,2009/2/1 16:42,2009/2/1 17:04,2,5.5,-73.988894,40.692243,-74.009487,40.73761,17.3,0
53,CMT,2009/2/1 17:11,2009/2/1 17:53,2,17.8,-73.789353,40.646956,-73.997603,40.74162,45,0
54,CMT,2009/2/1 17:13,2009/2/1 17:21,1,2.2,-73.984067,40.743411,-73.962465,40.767069,7.7,1.15
55,CMT,2009/2/1 17:21,2009/2/1 18:00,1,17.7,-73.790646,40.646203,-73.979199,40.762176,45,0
56,CMT,2009/2/1 17:39,2009/2/1 17:43,2,0.9,-73.991029,40.756027,-73.991419,40.750198,4.9,0
57,VTS,2009/2/1 17:44,2009/2/1 17:47,5,1.34,-73.978165,40.745872,-73.968188,40.7526,6.5,2
58,CMT,2009/2/1 17:48,2009/2/1 17:57,1,2.6,-73.951051,40.774933,-73.938723,40.80483,8.5,1.7
59,CMT,2009/2/1 18:12,2009/2/1 18:22,1,2.5,-73.984709,40.764668,-73.953146,40.776924,8.9,0
60,VTS,2009/2/1 18:19,2009/2/1 18:29,1,2.52,-73.978733,40.745055,-73.95575,40.776513,8.5,0
61,CMT,2009/2/1 18:42,2009/2/1 19:05,2,3.7,-73.948191,40.778893,-73.987455,40.744476,14.1,0
62,CMT,2009/2/1 18:47,2009/2/1 18:56,1,1.6,-73.979409,40.727561,-74.000248,40.730346,6.9,0
63,CMT,2009/2/1 18:59,2009/2/1 19:13,1,1.9,-73.922152,40.761887,-73.926308,40.76026,8.9,0
64,VTS,2009/2/1 19:01,2009/2/1 19:10,1,3.04,-73.991173,40.75052,-73.976632,40.78592,8.5,0
65,VTS,2009/2/1 19:04,2009/2/1 19:20,1,5.92,-73.965618,40.77427,-73.986442,40.715903,16.1,0
66,VTS,2009/2/1 19:23,2009/2/1 19:29,5,2.27,-73.990642,40.718448,-73.958612,40.714073,7.3,0
67,VTS,2009/2/1 19:33,2009/2/1 19:41,2,2.31,-73.986985,40.76109,-73.975018,40.741762,8.5,2
68,VTS,2009/2/1 20:37,2009/2/1 20:42,5,0.92,-73.993238,40.730773,-73.985117,40.737832,4.9,0
69,VTS,2009/2/1 20:39,2009/2/1 20:40,1,1.7,-73.939505,40.794603,-73.920157,40.809658,6.1,0
