raw_ind,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount
0,CMT,2012/1/1 1:00,2012/1/1 1:05,1,0.2,-74.006505,40.714367,-74.004322,40.713213,4.1,0
1,CMT,2012/1/1 1:01,2012/1/1 1:16,2,2.7,-73.914912,40.763986,-73.883905,40.749771,10.5,0
2,CMT,2012/1/1 1:32,2012/1/1 1:42,3,2.9,-73.979845,40.74341,-73.953102,40.780169,9.3,2.06
3,CMT,2012/1/1 1:39,2012/1/1 1:46,2,0,-74.002465,40.73014,-73.998281,40.731685,2.9,0
4,CMT,2012/1/1 2:25,2012/1/1 2:27,1,0.3,-73.997705,40.722501,-73.997512,40.719402,3.3,0.86
5,CMT,2012/1/1 2:39,2012/1/1 2:56,1,5.6,-74.00798,40.714752,-73.93966,40.683002,15.7,0
6,CMT,2012/1/1 2:49,2012/1/1 2:53,1,0.9,-73.9929,40.7479,-74.0059,40.7452,4.5,1
7,CMT,2012/1/1 2:50,2012/1/1 3:00,1,2,-73.967772,40.755833,-73.949263,40.776732,8.1,0
8,CMT,2012/1/1 3:28,2012/1/1 3:34,1,1.1,-74.005048,40.719099,-74.007061,40.732926,5.7,0
9,CMT,2012/1/1 4:19,2012/1/1 4:40,2,11.3,-73.9875,40.7504,-73.8799,40.7694,26.5,6.45
10,CMT,2012/1/1 7:53,2012/1/1 8:00,1,1.9,-73.96,40.7109,-73.9802,40.7221,7.3,5
11,CMT,2012/1/1 10:42,2012/1/1 10:46,1,0.6,-73.988815,40.722254,-73.99236,40.721684,4.5,0
12,CMT,2012/1/1 11:07,2012/1/1 11:16,1,3.4,-73.96516,40.75944,-73.995242,40.717765,10.1,3.18
13,CMT,2012/1/1 12:33,2012/1/1 12:39,1,1.2,-73.982635,40.765695,-73.991058,40.750336,5.7,0
14,CMT,2012/1/1 12:45,2012/1/1 12:52,3,1,-73.991419,40.750256,-73.988146,40.760487,5.7,0
15,CMT,2012/1/1 14:29,2012/1/1 14:33,1,0.4,-73.97586,40.757461,-73.972255,40.763542,4.1,0
